,PC1,PC2,PC3,PC4,PC5
1981-01-06,0.027495696863921466,0.005842597279917529,-0.00717325437003593,0.0003393720343483298,-0.0008633386737111517
1981-01-07,0.04175658587534081,0.007844259943417291,-0.004987296520050862,0.0006380342726384561,-4.3924419921157615e-05
1981-01-08,0.043456274281290994,0.007418450241755313,0.0016414969652925235,0.0006924691602831886,0.0013517912446120053
1981-01-09,0.0553032040955289,0.0034401066636678334,0.0016748108341524887,0.0013969467567226735,-0.00021462178770586095
1981-01-12,0.05025698157791181,-0.0007759249288480964,-0.003153234687462509,-0.002147692366838544,0.001113336017463508
1981-01-13,0.05006778097504658,0.0018543242309807953,-0.0039217743335185455,-4.71193515354071e-05,-0.0012974611307250627
1981-01-14,0.047035449078398316,-0.0008137921893385247,0.008477226967904636,-0.0005384996395700651,-0.000734343251749921
1981-01-15,0.0557239266594273,-0.006893818417123985,0.004823516107771281,0.000308293985483106,0.0002611098015642101
1981-01-16,0.04940990897731051,-0.00320141577798969,0.005060683506472048,-9.792205517054247e-05,-1.0524420099747777e-05
1981-01-19,0.05874624048359577,-0.0010435717285576648,0.0006126811306133529,0.0021397031801763337,-0.0001151406155888927
1981-01-20,0.051104826603410286,0.00104144946392135,0.0013149879082001833,0.0034616285982188885,-0.00023410472756755477
1981-01-21,0.06328129208070968,-0.0007819360458145223,0.0034923401712102344,0.0027447746191309203,-0.0007883915312211862
1981-01-22,0.06905261287997441,-0.00518165316061506,-0.004105234707888296,-0.0022733730848671745,-0.001221025734014905
1981-01-23,0.06511552194761039,-0.0014395204794459332,-0.004712948944168384,-0.0013050379388978982,-0.001400565484125723
1981-01-26,0.05673507373047498,-0.0031420428872216705,-0.003927412008521191,0.0008850792459991532,-0.0011602955444289667
1981-01-27,0.05793335013314693,-0.0032502594211381674,-0.0028931997507729785,0.0012176026331588122,-0.00016086504053792593
1981-01-28,0.05861784057230303,-0.002639875894476037,-0.0026868563528050023,0.0019880747645446306,-0.0007836358727881425
1981-01-29,0.060079765360800605,-0.00733618736078945,-0.004465259824080716,0.0007682211771824282,-0.0013633808845222666
1981-01-30,0.05418903342249018,-0.006169155493938413,-0.003496505528744003,-3.8902024902833865e-05,-0.00028251174429336223
1981-02-02,0.062442831051095646,-0.00526701175104021,0.0009590490131428605,-0.004092419418507452,-0.00027280377699984626
1981-02-03,0.07148099212431447,-0.009291782872611436,0.00032446057566430696,-0.0004279023143960751,-0.0005493928712910399
1981-02-04,0.06541124679499447,-0.00774606925901445,-0.0015474865242574318,0.0018818529894245367,-0.000828267713473991
1981-02-05,0.07263874859398942,-0.014986569536825312,0.00666346085286685,0.0023499463944675974,0.0007755010632797114
1981-02-06,0.07670392132858708,-0.009430384534768625,0.00014490453999369685,0.00041674459542102664,-0.00013450376476015495
1981-02-09,0.08079088091041275,-0.008853366832079358,-0.0014760383345429743,0.0014888230269959684,-0.0007500336597477257
1981-02-10,0.087468092451398,-0.01076692051332168,-0.001864964449438625,-0.0020121998556528946,0.0007775595985559748
1981-02-11,0.09239000301655699,-0.007135654308908134,-0.0004381103006741551,0.0005647413007512073,0.0006159075805577045
1981-02-13,0.10259203931124043,-0.009439030090608352,-0.0034631683565091173,0.00012999713644516156,0.0017430341260041447
1981-02-17,0.08732859812880353,-0.0088319706484068,0.003800200488015025,0.0005955977319221399,6.717776485086046e-05
1981-02-18,0.0842548962968328,-0.006595844837396467,0.0031159245972453196,-0.00014671756350568773,0.0007865888455414602
1981-02-19,0.07425046780368212,-0.006553793700062848,0.0027158498223194324,0.0006568089042592715,0.0011706500235099558
1981-02-20,0.06515640008600497,-0.004189884361792763,0.002600217345035998,0.0016721906981865618,0.0011108410531365364
1981-02-23,0.08011463344862527,-0.005300581707641493,0.0018773052940474085,0.001243186279969759,0.0022102020376821487
1981-02-24,0.08023115992263494,-0.004020296899409729,0.0021048790743006065,0.001073989150630924,0.0026068162402531217
1981-02-25,0.08395392417898247,-0.004611102277526098,-0.0005176122506715523,0.00019752293563643844,-0.003536897048891532
1981-02-26,0.09011411038949207,-0.004431133845698867,-0.006374368271911771,0.0017247440849619622,0.003483706998746305
1981-02-27,0.0889918169301468,-0.0034377184346629248,-0.003156574163582631,-0.0030217433405317004,-0.0010159374962550073
1981-03-02,0.10066173848615728,-0.0048340891593508396,0.000996736079941934,-0.0025771217788288833,-0.0003936731050797177
1981-03-03,0.09076780140401776,-0.0034950429060161175,-0.002027189858506335,-0.001949919296807292,0.0004404786878047498
1981-03-04,0.09262438123547642,-0.0036210221010050153,-0.001974425622310075,-0.0012178133075776837,0.0010715227085300084
1981-03-05,0.09075920861314031,-0.0030770858779120315,-0.002184498237062853,-0.0008528151366598907,0.0005109359484008935
1981-03-06,0.07635887919939255,-0.0010264706907160285,-0.005937395505534656,0.0001575333414719545,-0.00030583031608216076
1981-03-09,0.07153647896104381,-0.0004991813278375059,-0.005889644747237285,0.0006278054263087326,-0.0010554482085445463
1981-03-10,0.07330377531580573,-0.004909165344278863,-0.004096232769607854,0.0007047730676285214,-0.0014797550653247
1981-03-11,0.07516355535763754,0.004380285195714218,0.0012504149265635343,0.0016349340705958306,-0.00013568421566745033
1981-03-12,0.06833291967042124,0.003557894035035505,0.006927232738904569,0.0011476657654917724,-0.00031103264657805644
1981-03-13,0.058681077288422714,0.0036211901314699355,0.008385967128707646,0.0014644322506358475,0.0002852450876848613
1981-03-16,0.055869065598635234,0.0030960313848286364,0.00580865683067364,0.004595114973336733,-0.001296616868241769
1981-03-17,0.04995290124176441,0.0060579540924036515,-0.009023004887108835,0.0007168079326283282,0.0011833834537275797
1981-03-18,0.04222502608684364,0.009587311406190875,-0.005215294824820357,0.0019506279105980077,-0.0011969928424286692
1981-03-19,0.048088647861997305,0.009448178632771876,-0.002161597303251128,0.0035744136969566493,-1.0392934095300585e-05
1981-03-20,0.052011321133707725,0.011735847334601516,-0.0020206508120565,0.0017678635332829295,-0.0012202278838465365
1981-03-23,0.07218503186505601,0.00987537740777676,0.0018006786574978027,0.0017301242462966161,-0.0005796159148886691
1981-03-24,0.07899137879215647,0.009869731945474917,0.001521656554306343,0.004004620098134333,-0.0004244350342073903
1981-03-25,0.07611640265259023,0.010246612158187772,0.00014342321955211471,4.321471831781687e-05,-0.00014991560173147544
1981-03-26,0.08499243857033899,0.011081822097713155,0.0019531073292804375,-0.0018178026859806407,-4.2289955556405745e-05
1981-03-27,0.08488108355544771,0.009312551938319428,0.0013986973029708675,0.00042395034163057515,0.00020375932525457628
1981-03-30,0.0767566849979287,0.011482823505344273,0.0013248518415036052,0.0006091489167565881,0.0008836728105228275
1981-03-31,0.0693296699879565,0.01096252542857126,-0.0026272042928224748,0.0013875073143980396,-0.0017211169429532445
1981-04-01,0.06901072541308911,0.010486373088045408,-0.002310207082680891,0.001777445690864075,-0.001453918481588674
1981-04-02,0.07657254966168385,0.008380269724066362,0.001356286246809089,0.001909404056168224,-0.00043483459810450585
1981-04-03,0.08484754525658128,0.0075540725991572995,0.001681348730872997,0.00017267137237431747,-0.0012092293986470598
1981-04-06,0.10361467469492067,0.003231043271133556,0.004640669935930666,0.0016270227685388381,0.000648205200618015
1981-04-07,0.08824557863819829,0.004704023703206579,0.0019197060676335548,-0.0009005610910702549,0.0011264619383836642
1981-04-08,0.09517384072235138,0.0035016871022078037,0.0037993602693007856,0.00257413736240541,-0.0005289746685277525
1981-04-09,0.08945436835336232,0.0018809509009134412,0.0014417466888429896,-0.00044406775548323264,0.0013112184220954587
1981-04-10,0.09629763688657918,0.0047638861957729275,-0.002426508894829679,-0.0018533372768955838,-0.0005799255132442902
1981-04-13,0.10105560760312701,0.00250480654705221,-0.0018522047902507382,-0.0014938253599155555,0.0006909600768813724
1981-04-14,0.09424372013296205,0.002628720172531674,-0.0016557636252149403,0.0010515963368387111,0.0011298829750947185
1981-04-15,0.10347698506052529,0.0015359857559409046,-0.002375547566586537,-0.0011545264570729354,0.0002944806727135426
1981-04-16,0.10428538580648261,0.00025832531193243843,-0.0024979043214483844,0.0005335845172761756,-5.942980909220269e-06
1981-04-20,0.09741499021922384,-0.003730070623497241,0.0031827308002017433,-2.531553415967107e-05,0.0002853962002738438
1981-04-21,0.09746250893777325,-0.004732114461714148,0.0015123338440393634,0.0021601841097609207,-0.0005862836346457391
1981-04-22,0.10007315220214388,-0.0033425376370550455,-0.0016108377202687847,-0.0009770972545799206,-0.0006206032393071765
1981-04-23,0.10150527289305894,-0.003685533942705606,-0.001155983297717357,-0.0005447788938747929,0.000313728698440817
1981-04-24,0.1052067120957551,-0.004935797214783664,-0.00045615698091912814,-5.561277715992151e-05,0.00010683488225405637
1981-04-27,0.1065610865858099,-0.0054448689457130255,-0.0007361225479348486,-0.00011775917065439973,0.00017417496042203924
1981-04-28,0.1058329344375783,-0.004305935639367632,8.22491212203796e-05,-0.0007360408470738385,-0.0013462829905455391
1981-04-29,0.1111049738905322,-0.0015592061966359302,0.0005073568245036616,-0.0002744386061735559,-0.002498487933490071
