date,hsvol
1985-03-29,0.01854508642505325
1985-04-30,0.018638030611141238
1985-05-31,0.019638246584572607
1985-06-28,0.01964350728031559
1985-07-31,0.01963256595792038
1985-08-30,0.01931991148207564
1985-09-30,0.018589763099547428
1985-10-31,0.01816370397353529
1985-11-29,0.01820428701761379
1985-12-31,0.018257036090739875
1986-01-31,0.0171490124905791
1986-02-28,0.01246188165223632
1986-03-31,0.013049078907557677
1986-04-30,0.013071048820755653
1986-05-30,0.013158808831595863
1986-06-30,0.013253177894250713
1986-07-31,0.01427617802329116
1986-08-29,0.014172139728553947
1986-09-30,0.013624935939048238
1986-10-31,0.012935536457718904
1986-11-28,0.013608665124470445
1986-12-31,0.014008625104168058
1987-01-30,0.015000126697575202
1987-02-27,0.013959551043759467
1987-03-31,0.014085497171293216
1987-04-30,0.017941643410212
1987-05-29,0.017935615446269697
1987-06-30,0.017917417934783186
1987-07-31,0.017916092917158115
1987-08-31,0.017782853547145094
1987-09-30,0.01931664661180669
1987-10-30,0.021370771003801782
1987-11-30,0.020783351447460272
1987-12-31,0.019937707752885846
1988-01-29,0.020703953754109605
1988-02-29,0.02141514407235433
1988-03-31,0.021751710964654513
1988-04-29,0.021416642428790187
1988-05-31,0.02137416808460682
1988-06-30,0.021412682234775385
1988-07-29,0.021093233298795262
1988-08-31,0.021069604176611297
1988-09-30,0.021007956660999912
1988-10-31,0.019598152237671928
1988-11-30,0.019276048053908312
1988-12-30,0.019270186315450865
1989-01-31,0.0171067134839976
1989-02-28,0.017141581385373635
1989-03-31,0.01738231132811968
1989-04-28,0.017370904198674764
1989-05-31,0.017606722471650675
1989-06-30,0.015236058045093545
1989-07-31,0.012104443542164629
1989-08-31,0.011449343277748391
1989-09-29,0.01226433909935651
1989-10-31,0.012577621976600374
1989-11-30,0.010957188823781303
1989-12-29,0.010532920442548749
1990-01-31,0.011815311320392805
1990-02-28,0.012830325660539396
1990-03-30,0.013646798493277115
1990-04-30,0.013613480323463966
1990-05-31,0.01414787756027282
1990-06-29,0.014770309785504825
1990-07-31,0.015553148178647645
1990-08-31,0.02057895885680757
1990-09-28,0.026388340561867573
1990-10-31,0.028088082093376918
1990-11-30,0.029220799317283167
1990-12-31,0.02931621918391352
1991-01-31,0.03009004427282104
1991-02-28,0.037968839449355946
1991-03-28,0.03990465372697259
1991-03-29,0.039899773208550975
1991-04-30,0.04074634847563962
1991-05-31,0.04046586744121074
1991-06-28,0.04022324309100457
1991-07-31,0.0404900552264784
1991-08-30,0.04055603103061587
1991-09-30,0.03989760628088058
1991-10-31,0.039415890807358446
1991-11-29,0.03937228346604516
1991-12-31,0.03922026729640765
1992-01-31,0.03946350449454024
1992-02-28,0.03946928001710167
1992-03-31,0.0393811012162765
1992-04-30,0.03580202956840539
1992-05-29,0.028820777239287273
1992-06-30,0.023323561504639892
1992-07-31,0.023366319327757557
1992-08-31,0.023132672973120872
1992-09-30,0.023318478615207226
1992-10-30,0.016021287247659288
1992-11-30,0.013227818089148368
1992-12-31,0.012785184778381996
1993-01-29,0.01191765142305266
1993-02-26,0.01149878074992921
1993-03-31,0.011132283252835504
1993-04-30,0.010594101578548391
1993-05-28,0.010432084328747523
1993-06-30,0.010539285382455476
1993-07-30,0.009671952038174173
1993-08-31,0.009565212982275561
1993-09-30,0.009840931444250118
1993-10-29,0.008662874569453445
1993-11-30,0.008313828463216386
1993-12-31,0.008314148622338976
1994-01-31,0.00843240305656019
1994-02-28,0.008990121373443847
1994-03-31,0.014088551940766445
1994-04-29,0.014417569438408625
1994-05-31,0.014450315625306106
1994-06-30,0.014461385621573935
1994-07-29,0.013630378096068126
1994-08-31,0.013591605467263223
1994-09-30,0.013663491462220529
1994-10-31,0.012770920441351882
1994-11-30,0.01309800527437306
1994-12-30,0.012978834196288539
1995-01-31,0.01310216824437606
1995-02-28,0.014512762818454249
1995-03-31,0.014144429922660424
1995-04-28,0.014787381386874068
1995-05-31,0.01553701963265654
1995-06-30,0.015509044852127906
1995-07-31,0.01527448253679682
1995-08-31,0.015288212311546265
1995-09-29,0.015285372424120296
1995-10-31,0.014890604183023699
1995-11-30,0.014780463267359267
1995-12-29,0.010763096450654477
1996-01-31,0.010290296216204193
1996-02-29,0.010277783549354833
1996-03-29,0.010435382782903856
1996-04-30,0.01056381350664701
1996-05-31,0.010578595715983671
1996-06-28,0.010364228252302463
1996-07-31,0.01029427586195059
1996-08-30,0.008894300971085192
1996-09-30,0.00926881766818996
1996-10-31,0.009304400248957704
1996-11-29,0.008046236088954453
1996-12-31,0.008087896319111285
1997-01-31,0.007383195115833662
1997-02-28,0.006377321837280179
1997-03-31,0.008306693201526823
1997-04-30,0.00826745889909398
1997-05-30,0.008628558343772885
1997-06-30,0.008662437145654681
1997-07-31,0.009454619288338833
1997-08-29,0.009840747518329194
1997-09-30,0.009998667069450465
1997-10-31,0.010029140806209152
1997-11-28,0.009845205649223306
1997-12-31,0.009566248445945903
1998-01-30,0.009537088595993863
1998-02-27,0.009540882391569354
1998-03-31,0.009529452409157459
1998-04-30,0.00955331702999342
1998-05-29,0.009684882022327224
1998-06-30,0.009283047742844625
1998-07-31,0.009312329601844893
1998-08-07,0.009134668904492816
1998-08-10,0.009497822452786714
1998-08-11,0.009674853151809002
1998-08-12,0.009662327756473745
1998-08-13,0.00854739845950033
1998-08-14,0.008678626940349472
1998-08-17,0.008242678931898265
1998-08-18,0.008181300011507964
1998-08-19,0.006468914112167718
1998-08-20,0.006373539119982742
1998-08-21,0.005442047931548547
1998-08-24,0.005470743156938718
1998-08-25,0.00524889535556528
1998-08-26,0.005055959896579624
1998-08-27,0.003429809771769563
1998-08-28,0.005238702148057805
1998-08-31,0.006580937367813734
1998-09-01,0.006444891882600885
1998-09-02,0.006330946938457869
1998-09-03,0.006204781568687293
1998-09-04,0.005949957915079175
1998-09-08,0.005902109178745145
1998-09-09,0.005955221259472051
1998-09-10,0.005968795138994419
1998-09-11,0.005975580715421473
1998-09-14,0.0060032315437668765
1998-09-15,0.005986638838043682
1998-09-16,0.006012567735365922
1998-09-17,0.0060525477981898095
1998-09-18,0.0060703334290233574
1998-09-21,0.006064147167489851
1998-09-22,0.006083739994899395
1998-09-23,0.006149762631397763
1998-09-24,0.0061763631448460855
1998-09-25,0.006189619532821321
1998-09-28,0.006236023297213047
1998-09-29,0.0049395712717271575
1998-09-30,0.0012045498397162708
1998-10-01,0.0009953460973258171
1998-10-02,0.001013621048624955
1998-10-05,0.0010099964105029456
1998-10-06,0.0014023235570866735
1998-10-07,0.0015405144913830206
1998-10-08,0.002148870179800148
1998-10-09,0.003174312747649051
1998-10-13,0.003173190874556691
1998-10-14,0.003172251913883695
1998-10-15,0.003612326239216781
1998-10-16,0.003738021091785707
1998-10-19,0.0037187381504998522
1998-10-20,0.0037225450674717143
1998-10-21,0.0037842555737151434
1998-10-22,0.0037999870878668803
1998-10-23,0.0037861649231974753
1998-10-26,0.0037971467383506557
1998-10-27,0.0038208302437483864
1998-10-28,0.0037763114008018887
1998-10-29,0.0038498080816642684
1998-10-30,0.00381124067022546
1998-11-02,0.003776236486174303
1998-11-03,0.0037971720604508324
1998-11-04,0.0038511603170172178
1998-11-05,0.0037961086098411375
1998-11-06,0.003770263995769373
1998-11-09,0.0036698337068805675
1998-11-10,0.0026720476799802135
1998-11-12,0.0027227129691506377
1998-11-13,0.002673391426291974
1998-11-16,0.0017328805861195273
1998-11-17,0.0016949565076509504
1998-11-18,0.001621184496548911
1998-11-19,0.0016163898083512169
1998-11-20,0.0016259229532885303
1998-11-23,0.0016281771833379832
1998-11-24,0.0016861207847818054
1998-11-25,0.0017133301271076186
1998-11-27,0.001764034470173677
1998-11-30,0.0017210469071425457
1998-12-01,0.0017249353867737785
1998-12-02,0.0015842935549201325
1998-12-03,0.0015878958989474941
