Security,LT02TRUU Index,
Start Date,1/31/1992 0:00,
End Date,5/21/2025 0:00,
Period,D,
,,
Date,PX_LAST,TOT_RETURN_INDEX_GROSS_DVDS
5/21/2025,389.25,389.25
5/20/2025,390.13,390.13
5/19/2025,390.13,390.13
5/16/2025,389.8,389.8
5/15/2025,389.89,389.89
5/14/2025,388.44,388.44
5/13/2025,389.15,389.15
5/12/2025,389.18,389.18
5/9/2025,390.79,390.79
5/8/2025,390.64,390.64
5/7/2025,392.41,392.41
5/6/2025,392.11,392.11
5/5/2025,391.45,391.45
5/2/2025,391.57,391.57
5/1/2025,393.25,393.25
4/30/2025,394.54,394.54
4/29/2025,393.67,393.67
4/28/2025,393.04,393.04
4/25/2025,391.92,391.92
4/24/2025,391.23,391.23
4/23/2025,390.08,390.08
4/22/2025,390.44,390.44
4/21/2025,390.7,390.7
4/18/2025,390.84,390.84
4/17/2025,390.84,390.84
4/16/2025,391.03,391.03
4/15/2025,389.88,389.88
4/14/2025,389.45,389.45
4/11/2025,387.41,387.41
4/10/2025,388.99,388.99
4/9/2025,389.19,389.19
4/8/2025,390.81,390.81
4/7/2025,390.95,390.95
4/4/2025,392.84,392.84
4/3/2025,392.54,392.54
4/2/2025,389.52,389.52
4/1/2025,389.92,389.92
3/31/2025,389.44,389.44
3/28/2025,388.95,388.95
3/27/2025,387.38,387.38
3/26/2025,387.19,387.19
3/25/2025,387.48,387.48
3/24/2025,387.02,387.02
3/21/2025,388.19,388.19
3/20/2025,388.06,388.06
3/19/2025,387.7,387.7
3/18/2025,386.89,386.89
3/17/2025,386.58,386.58
3/14/2025,386.65,386.65
3/13/2025,387.6,387.6
3/12/2025,386.79,386.79
3/11/2025,387.42,387.42
3/10/2025,387.97,387.97
3/7/2025,386.36,386.36
3/6/2025,386.62,386.62
3/5/2025,386.4,386.4
3/4/2025,387.58,387.58
3/3/2025,387.72,387.72
2/28/2025,387.04,387.04
2/27/2025,385.9,385.9
2/26/2025,385.85,385.85
2/25/2025,385.29,385.29
2/24/2025,383.83,383.83
2/21/2025,383.28,383.28
2/20/2025,382.13,382.13
2/19/2025,381.85,381.85
2/18/2025,381.27,381.27
2/17/2025,381.97,381.97
2/14/2025,381.97,381.97
2/13/2025,381.08,381.08
2/12/2025,379.95,379.95
2/11/2025,381.31,381.31
2/10/2025,381.58,381.58
2/7/2025,381.43,381.43
2/6/2025,382.32,382.32
2/5/2025,382.64,382.64
2/4/2025,381.76,381.76
2/3/2025,381.24,381.24
1/31/2025,381.55,381.55
1/30/2025,381.51,381.51
1/29/2025,381.12,381.12
1/28/2025,381.4,381.4
1/27/2025,381.34,381.34
1/24/2025,380,380
1/23/2025,379.53,379.53
1/22/2025,379.66,379.66
1/21/2025,380.16,380.16
1/20/2025,379.6,379.6
1/17/2025,379.6,379.6
1/16/2025,379.86,379.86
1/15/2025,379.22,379.22
1/14/2025,377.18,377.18
1/13/2025,376.96,376.96
1/10/2025,377.18,377.18
1/9/2025,379.02,379.02
1/8/2025,378.99,378.99
1/7/2025,378.62,378.62
1/6/2025,379.21,379.21
1/3/2025,379.1,379.1
1/2/2025,379.51,379.51
12/31/2024,379.32,379.32
12/30/2024,379.43,379.43
12/27/2024,378.11,378.11
12/26/2024,378.34,378.34
12/25/2024,378.14,378.14
12/24/2024,378.14,378.14
12/23/2024,378.07,378.07
12/20/2024,378.64,378.64
12/19/2024,378.17,378.17
12/18/2024,378.22,378.22
12/17/2024,380.04,380.04
12/16/2024,380.07,380.07
12/13/2024,379.98,379.98
12/12/2024,380.77,380.77
12/11/2024,381.34,381.34
12/10/2024,381.73,381.73
12/9/2024,382.06,382.06
12/6/2024,382.49,382.49
12/5/2024,381.77,381.77
12/4/2024,381.89,381.89
12/3/2024,381.11,381.11
12/2/2024,381.37,381.37
11/29/2024,381.46,381.46
11/28/2024,380.64,380.64
11/27/2024,380.64,380.64
11/26/2024,379.86,379.86
11/25/2024,380.05,380.05
11/22/2024,378.14,378.14
11/21/2024,378.25,378.25
11/20/2024,378.52,378.52
11/19/2024,378.85,378.85
11/18/2024,378.52,378.52
11/15/2024,378.02,378.02
11/14/2024,377.59,377.59
11/13/2024,378.13,378.13
11/12/2024,377.63,377.63
11/11/2024,379.14,379.14
11/8/2024,379.14,379.14
11/7/2024,379.46,379.46
11/6/2024,377.95,377.95
11/5/2024,379.37,379.37
11/4/2024,379.61,379.61
11/1/2024,378.67,378.67
10/31/2024,379.56,379.56
10/30/2024,379.54,379.54
10/29/2024,380.24,380.24
10/28/2024,380.03,380.03
10/25/2024,380.46,380.46
10/24/2024,380.9,380.9
10/23/2024,380.61,380.61
10/22/2024,381.23,381.23
10/21/2024,381.5,381.5
10/18/2024,382.77,382.77
10/17/2024,382.39,382.39
10/16/2024,383.16,383.16
10/15/2024,382.82,382.82
10/14/2024,382.44,382.44
10/11/2024,382.44,382.44
10/10/2024,382.17,382.17
10/9/2024,381.82,381.82
10/8/2024,382.56,382.56
10/7/2024,382.31,382.31
10/4/2024,383,383
10/3/2024,385.71,385.71
10/2/2024,386.8,386.8
10/1/2024,387.23,387.23
9/30/2024,386.56,386.56
9/27/2024,387.42,387.42
9/26/2024,386.47,386.47
9/25/2024,387,387
9/24/2024,387.71,387.71
9/23/2024,387.16,387.16
9/20/2024,387.26,387.26
9/19/2024,387.19,387.19
9/18/2024,387.02,387.02
9/17/2024,387.7,387.7
9/16/2024,388.14,388.14
9/13/2024,387.68,387.68
9/12/2024,387.02,387.02
9/11/2024,387.31,387.31
9/10/2024,387.63,387.63
9/9/2024,386.6,386.6
9/6/2024,386.43,386.43
9/5/2024,385.59,385.59
9/4/2024,385.26,385.26
9/3/2024,383.89,383.89
9/2/2024,382.77,382.77
8/30/2024,382.77,382.77
8/29/2024,383.16,383.16
8/28/2024,383.51,383.51
8/27/2024,383.54,383.54
8/26/2024,383.28,383.28
8/23/2024,383.47,383.47
8/22/2024,382.27,382.27
8/21/2024,383.3,383.3
8/20/2024,382.51,382.51
8/19/2024,381.62,381.62
8/16/2024,381.49,381.49
8/15/2024,381.03,381.03
8/14/2024,382.76,382.76
8/13/2024,382.7,382.7
8/12/2024,381.73,381.73
8/9/2024,380.95,380.95
8/8/2024,380.55,380.55
8/7/2024,381.24,381.24
8/6/2024,381.67,381.67
8/5/2024,383.24,383.24
8/2/2024,383.25,383.25
8/1/2024,379.66,379.66
7/31/2024,378.49,378.49
7/30/2024,376.87,376.87
7/29/2024,376.45,376.45
7/26/2024,376.22,376.22
7/25/2024,375.26,375.26
7/24/2024,375.04,375.04
7/23/2024,375.02,375.02
7/22/2024,374.72,374.72
7/19/2024,374.79,374.79
7/18/2024,375.37,375.37
7/17/2024,375.85,375.85
7/16/2024,375.73,375.73
7/15/2024,375.2,375.2
7/12/2024,375.33,375.33
7/11/2024,374.65,374.65
7/10/2024,373.09,373.09
7/9/2024,373,373
7/8/2024,373.03,373.03
7/5/2024,373.04,373.04
7/4/2024,371.76,371.76
7/3/2024,371.76,371.76
7/2/2024,370.61,370.61
7/1/2024,369.96,369.96
6/28/2024,371.09,371.09
6/27/2024,371.43,371.43
6/26/2024,370.95,370.95
6/25/2024,371.92,371.92
6/24/2024,371.8,371.8
6/21/2024,371.66,371.66
6/20/2024,371.63,371.63
6/19/2024,371.97,371.97
6/18/2024,371.97,371.97
6/17/2024,371.02,371.02
6/14/2024,371.91,371.91
6/13/2024,371.79,371.79
6/12/2024,370.46,370.46
6/11/2024,369.35,369.35
6/10/2024,368.41,368.41
6/7/2024,368.53,368.53
6/6/2024,370.69,370.69
6/5/2024,370.61,370.61
6/4/2024,369.9,369.9
6/3/2024,368.86,368.86
5/31/2024,367.82,367.82
5/30/2024,366.74,366.74
5/29/2024,365.87,365.87
5/28/2024,366.53,366.53
5/27/2024,367.03,367.03
5/24/2024,367.03,367.03
5/23/2024,366.97,366.97
5/22/2024,367.82,367.82
5/21/2024,368.3,368.3
5/20/2024,367.82,367.82
5/17/2024,368,368
5/16/2024,368.45,368.45
5/15/2024,369.15,369.15
5/14/2024,367.6,367.6
5/13/2024,366.96,366.96
5/10/2024,366.7,366.7
5/9/2024,367.27,367.27
5/8/2024,366.78,366.78
