date,volatility
1999-01-04,0.0014234803714672111
1999-01-05,0.0012487229474160198
1999-01-06,0.001080164968101289
1999-01-07,0.0016943575485914206
1999-01-08,0.0010960110429831143
1999-01-11,0.0015977684174650092
1999-01-12,0.0011633749287024056
1999-01-13,0.001396238118145762
1999-01-14,0.0012964572298251767
1999-01-15,0.0013566012963095783
1999-01-19,0.0015391812117533695
1999-01-20,0.0013526122469022057
1999-01-21,0.0016712432055294019
1999-01-22,0.0016985723943511708
1999-01-25,0.0013712014224423284
1999-01-26,0.001409087532170025
1999-01-27,0.0012278853571375593
1999-01-28,0.0013806091362682628
1999-01-29,0.001394745188765536
1999-02-01,0.0013673507677970397
1999-02-02,0.0024017817656544916
1999-02-03,0.0015897728583879164
1999-02-04,0.001742608078727456
1999-02-05,0.0014980082923233275
1999-02-08,0.001674073662844492
1999-02-09,0.0014286014513174663
1999-02-10,0.0014764961518018414
1999-02-11,0.0016507473719215757
1999-02-12,0.0015279821382630818
1999-02-16,0.0029265334136965838
1999-02-17,0.0020267868166122987
1999-02-18,0.0021710839264935024
1999-02-19,0.0032365658327860574
1999-02-22,0.0024007106785757996
1999-02-23,0.0027389598720661545
1999-02-24,0.002945705230335291
1999-02-25,0.002754354406698411
1999-02-26,0.005217965692741919
1999-03-01,0.004256459775579573
1999-03-02,0.004014586107749499
1999-03-03,0.004263623453918612
1999-03-04,0.0038546653654249947
1999-03-05,0.0038137798828105224
1999-03-08,0.003519544152793171
1999-03-09,0.0032477859583922995
1999-03-10,0.0034127519414249192
1999-03-11,0.003329225323554061
1999-03-12,0.00320931094498563
1999-03-15,0.0028953807951643774
1999-03-16,0.002931648793622908
1999-03-17,0.0026498998019936415
1999-03-18,0.002795683516678895
1999-03-19,0.0031941459670027715
1999-03-22,0.002348835001067839
1999-03-23,0.0022575924818290017
1999-03-24,0.0019628029857729763
1999-03-25,0.0019120125748849912
1999-03-26,0.0025682558720274504
1999-03-29,0.0022197068706054797
1999-03-30,0.002078888939872354
1999-03-31,0.0018160084700253188
1999-04-01,0.0019872456666262285
1999-04-05,0.0018975704014381446
1999-04-06,0.002170863787613594
1999-04-07,0.0020109632969528154
1999-04-08,0.0016717174027449668
1999-04-09,0.0021314866542045414
1999-04-12,0.0024787729931427917
1999-04-13,0.0018748663321868024
1999-04-14,0.0021320667224246177
1999-04-15,0.0018775157969741188
1999-04-16,0.001958214860567798
1999-04-19,0.0023146987598182626
1999-04-20,0.0018556241955234257
1999-04-21,0.0025179867409262226
1999-04-22,0.001874340292426293
1999-04-23,0.002066201479877745
1999-04-26,0.001747765388994681
1999-04-27,0.0016615933056970333
1999-04-28,0.0017661381234514233
1999-04-29,0.0017179937237203216
1999-04-30,0.0018482080626707456
1999-05-03,0.0024291121697503112
1999-05-04,0.002023271690618892
1999-05-05,0.0024555236531210558
1999-05-06,0.0020071543724496706
1999-05-07,0.003349687561785255
1999-05-10,0.002862568892603864
1999-05-11,0.003203204271573906
1999-05-12,0.0035901629365396996
1999-05-13,0.002867567398789439
1999-05-14,0.002530542220875555
1999-05-17,0.0037108072365074933
1999-05-18,0.004184858755770613
1999-05-19,0.003722308110868752
1999-05-20,0.0033668194871139946
