date,corr
1999-02-02,0.3467192812464857
1999-02-03,0.37975605829439285
1999-02-04,0.3878952417627942
1999-02-05,0.403449260194417
1999-02-08,0.4107900769897332
1999-02-09,0.37588197790625605
1999-02-10,0.3601373454623738
1999-02-11,0.31720918207553345
1999-02-12,0.6027696782389647
1999-02-16,0.6686665968430804
1999-02-17,0.6905132039123423
1999-02-18,0.6671513035745683
1999-02-19,0.7265926553723359
1999-02-22,0.6103934760490544
1999-02-23,0.6188941513320223
1999-02-24,0.6240483011448347
1999-02-25,0.6956476412875028
1999-02-26,0.5438801469390881
1999-03-01,0.5360727573655005
1999-03-02,0.4498361322932916
1999-03-03,0.4319536968474723
1999-03-04,0.45746876951919696
1999-03-05,0.5302307402517168
1999-03-08,0.5828897097139065
1999-03-09,0.5347375607389742
1999-03-10,0.4915417678468703
1999-03-11,0.4558450713117256
1999-03-12,0.4938384822839444
1999-03-15,0.4942230184903625
1999-03-16,0.4668646148242333
1999-03-17,0.4393293498976591
1999-03-18,0.4160768999875204
1999-03-19,0.3689829642613991
1999-03-22,0.3480311206703456
1999-03-23,0.38399948905661463
1999-03-24,0.36414177267847997
1999-03-25,0.36745228000740016
1999-03-26,0.12780593893573788
1999-03-29,0.18520545260456156
1999-03-30,-0.0005036209681617181
1999-03-31,0.12562186799976283
1999-04-01,0.11237067413090535
1999-04-05,0.13039306668502157
1999-04-06,0.12877540273729193
1999-04-07,0.12482771352630333
1999-04-08,0.4124700377901756
1999-04-09,0.3766082041652444
1999-04-12,0.39438773376479463
1999-04-13,0.4474529887006544
1999-04-14,0.43818379020473935
1999-04-15,0.4505650728146475
1999-04-16,0.5220696243874541
1999-04-19,0.5328840325012186
1999-04-20,0.46187695115054045
1999-04-21,0.48955207660425737
1999-04-22,0.5036756669364355
1999-04-23,0.5009976590255892
1999-04-26,0.47491610496040193
1999-04-27,0.47356475108867535
1999-04-28,0.5296344486858843
1999-04-29,0.586527704043617
1999-04-30,0.6531751728398043
1999-05-03,0.6437331779745058
1999-05-04,0.6143455311776427
1999-05-05,0.590965376490109
1999-05-06,0.656631739177109
1999-05-07,0.588156933970474
1999-05-10,0.5900721737025595
1999-05-11,0.6082288849016244
1999-05-12,0.6074577828174478
1999-05-13,0.636669014952815
1999-05-14,0.6809228612497613
1999-05-17,0.6326297594213035
1999-05-18,0.604215697161586
1999-05-19,0.6821197474214199
1999-05-20,0.687406508524512
1999-05-21,0.7124305350752373
1999-05-24,0.719254898006387
1999-05-25,0.7037528123971678
1999-05-26,0.7054819099279243
1999-05-27,0.7286946180234454
1999-05-28,0.7186282466501491
1999-05-31,0.7370530136421726
1999-06-01,0.7397525361748226
1999-06-02,0.7313946995320931
1999-06-03,0.6924130166895811
1999-06-04,0.6558227603749572
1999-06-07,0.6396027515577789
1999-06-08,0.601696710760941
1999-06-09,0.5525404805666844
1999-06-10,0.5535510330666896
1999-06-11,0.574641851411854
1999-06-14,0.5339789456178156
1999-06-15,0.5315442552709521
1999-06-16,0.5538586077758372
1999-06-17,0.6275891166474638
1999-06-18,0.5543851295246499
1999-06-21,0.5492310539122135
1999-06-22,0.5437724626014147
1999-06-23,0.5487098927982789
