date,volatility
1980-01-02,0.007915815090019469
1980-01-03,0.007967917460483753
1980-01-04,0.007946372948652032
1980-01-07,0.007795727513634225
1980-01-08,0.007608136039433159
1980-01-09,0.007438786976699836
1980-01-10,0.0072640785862560404
1980-01-11,0.00710624624380559
1980-01-14,0.007119013001525855
1980-01-15,0.0070589919678119535
1980-01-16,0.006898825039455671
1980-01-17,0.006736397783442278
1980-01-18,0.00658818967957988
1980-01-21,0.006520614867478962
1980-01-22,0.006538742448967275
1980-01-23,0.006544905657655442
1980-01-24,0.0064470298659211524
1980-01-25,0.006561090909332803
1980-01-28,0.006623677076824327
1980-01-29,0.006507966784139587
1980-01-30,0.00637811025839509
1980-01-31,0.006246705125087032
1980-02-01,0.006109853301172535
1980-02-04,0.00613314212946978
1980-02-05,0.006188366279793051
1980-02-06,0.006842595979813667
1980-02-07,0.007357623885455646
1980-02-08,0.007586147552687853
1980-02-11,0.007603245249284388
1980-02-12,0.0076934906151235995
1980-02-13,0.007675413013671767
1980-02-14,0.007598227115401201
1980-02-15,0.007558740265695857
1980-02-18,0.007637222793888806
1980-02-19,0.0075918911382541225
1980-02-20,0.00960353069249662
1980-02-21,0.01062824496834464
1980-02-22,0.01090529758079089
1980-02-25,0.011089269274884874
1980-02-26,0.011033963904537697
1980-02-27,0.011367952041984897
1980-02-28,0.01154623642948569
1980-02-29,0.01256425756274872
1980-03-03,0.01309484339201047
1980-03-04,0.012819133722855314
1980-03-05,0.012534649605908856
1980-03-06,0.012273067570609203
1980-03-07,0.011976293270398697
1980-03-10,0.011856968958058484
1980-03-11,0.011855251747051926
1980-03-12,0.011825443551427242
1980-03-13,0.0117700773254569
1980-03-14,0.011598910876532871
1980-03-17,0.011317734466843971
1980-03-18,0.011027873314916104
1980-03-19,0.010871397143859748
1980-03-20,0.010684294444239044
1980-03-21,0.010409129487613857
1980-03-24,0.010759224471923819
1980-03-25,0.011516517932622771
1980-03-26,0.011648663387470691
1980-03-27,0.011374244943305785
1980-03-28,0.011099580728648053
1980-03-31,0.011053140487049482
1980-04-01,0.0109481013066542
1980-04-02,0.010682428532136865
1980-04-03,0.010418326843185102
1980-04-04,0.010198831768500158
1980-04-07,0.00996225591327817
1980-04-08,0.009698966089912907
1980-04-09,0.009863609755997267
1980-04-10,0.009982803219951894
1980-04-11,0.00978510561206538
1980-04-14,0.009526597452137157
1980-04-15,0.010111760189286223
1980-04-16,0.010396914309669944
1980-04-17,0.011895363782777993
1980-04-18,0.01282676165378411
1980-04-21,0.01261357088601889
1980-04-22,0.012372718227102841
1980-04-23,0.012118122771088043
1980-04-24,0.011823239936434702
1980-04-25,0.011536397165450307
1980-04-28,0.011242164005563675
1980-04-29,0.011366833767059685
1980-04-30,0.011356614384068448
1980-05-01,0.011091824115075644
1980-05-02,0.010966270029382776
1980-05-05,0.011282882350669916
1980-05-06,0.011325634343062154
1980-05-07,0.011792369491569272
1980-05-08,0.012129025856263955
1980-05-09,0.012095251029866794
1980-05-12,0.011970527522620386
1980-05-13,0.011721591727363144
1980-05-14,0.011486033415321697
1980-05-15,0.011226116638692123
1980-05-16,0.011047489949387854
1980-05-19,0.010850521767413832
1980-05-20,0.010672575007645641
1980-05-21,0.010912138264477282
1980-05-22,0.011010297044560427
1980-05-23,0.010775794575972402
1980-05-26,0.010802866641316782
1980-05-27,0.010728112808679085
1980-05-28,0.010497612167338776
1980-05-29,0.010256789730187527
1980-05-30,0.010360086269562837
1980-06-02,0.010339291262976742
1980-06-03,0.010134077674562854
1980-06-04,0.01002347623336149
1980-06-05,0.009856766507497611
1980-06-06,0.009668328244540308
1980-06-09,0.009650280882951163
1980-06-10,0.009657391076248398
1980-06-11,0.009501885398674064
1980-06-12,0.009259926650806978
1980-06-13,0.009034035170329332
1980-06-16,0.008846392801284318
1980-06-17,0.008647903193929204
1980-06-18,0.008433066284121972
1980-06-19,0.008222213145715848
1980-06-20,0.008014322054782788
1980-06-23,0.007813344574588333
1980-06-24,0.007630425784527692
1980-06-25,0.007445654899959603
1980-06-26,0.0076182977822302185
1980-06-27,0.008176726944068872
1980-06-30,0.008423079804585848
1980-07-01,0.008438299183823666
1980-07-02,0.00834863520988732
1980-07-03,0.008166854244430232
1980-07-04,0.008043955501925869
1980-07-07,0.007889039449116772
1980-07-08,0.007685152686474843
1980-07-09,0.007509050203284073
1980-07-10,0.007332433030706533
1980-07-11,0.007159688889902551
1980-07-14,0.00706297741589658
1980-07-15,0.006943631465124012
1980-07-16,0.006845186459639438
1980-07-17,0.006729857106215419
1980-07-18,0.0066893606596165524
1980-07-21,0.006610337328380125
1980-07-22,0.006463194174446894
1980-07-23,0.0063777430651543905
1980-07-24,0.006266994527908402
1980-07-25,0.006215533994844321
1980-07-28,0.006138306981641361
1980-07-29,0.006023819649698709
1980-07-30,0.005907470735033275
1980-07-31,0.0058081238941687105
1980-08-01,0.0063843223370127775
1980-08-04,0.006667398852307069
1980-08-05,0.00669949470433565
1980-08-06,0.006714210466520008
1980-08-07,0.006694016607317797
1980-08-08,0.0066318019008659735
1980-08-11,0.006551720215593038
1980-08-12,0.0066290000358479526
