Security,LD20TRUU Index,
Start Date,12/31/1991 0:00,
End Date,5/21/2025 0:00,
Period,D,
,,
Date,PX_LAST,TOT_RETURN_INDEX_GROSS_DVDS
2/3/2011,197.96,197.96
2/2/2011,197.96,197.96
2/1/2011,197.96,197.96
1/31/2011,197.96,197.96
1/28/2011,197.96,197.96
1/27/2011,197.95,197.95
1/26/2011,197.95,197.95
1/25/2011,197.95,197.95
1/24/2011,197.95,197.95
1/21/2011,197.94,197.94
1/20/2011,197.94,197.94
1/19/2011,197.94,197.94
1/18/2011,197.94,197.94
1/14/2011,197.94,197.94
1/13/2011,197.94,197.94
1/12/2011,197.94,197.94
1/11/2011,197.94,197.94
1/10/2011,197.93,197.93
1/7/2011,197.93,197.93
1/6/2011,197.93,197.93
1/5/2011,197.93,197.93
1/4/2011,197.93,197.93
1/3/2011,197.93,197.93
12/31/2010,197.93,197.93
12/30/2010,197.93,197.93
12/29/2010,197.93,197.93
12/28/2010,197.93,197.93
12/27/2010,197.92,197.92
12/23/2010,197.92,197.92
12/22/2010,197.92,197.92
12/21/2010,197.92,197.92
12/20/2010,197.92,197.92
12/17/2010,197.92,197.92
12/16/2010,197.91,197.91
12/15/2010,197.91,197.91
12/14/2010,197.91,197.91
12/13/2010,197.91,197.91
12/10/2010,197.91,197.91
12/9/2010,197.9,197.9
12/8/2010,197.9,197.9
12/7/2010,197.9,197.9
12/6/2010,197.9,197.9
12/3/2010,197.89,197.89
12/2/2010,197.89,197.89
12/1/2010,197.88,197.88
11/30/2010,197.88,197.88
11/29/2010,197.88,197.88
11/26/2010,197.88,197.88
11/24/2010,197.88,197.88
11/23/2010,197.88,197.88
11/22/2010,197.88,197.88
11/19/2010,197.88,197.88
11/18/2010,197.88,197.88
11/17/2010,197.88,197.88
11/16/2010,197.88,197.88
11/15/2010,197.88,197.88
11/12/2010,197.88,197.88
11/10/2010,197.88,197.88
11/9/2010,197.88,197.88
11/8/2010,197.88,197.88
11/5/2010,197.88,197.88
11/4/2010,197.88,197.88
11/3/2010,197.87,197.87
11/2/2010,197.87,197.87
11/1/2010,197.87,197.87
10/29/2010,197.87,197.87
10/28/2010,197.86,197.86
10/27/2010,197.86,197.86
10/26/2010,197.86,197.86
10/25/2010,197.86,197.86
10/22/2010,197.86,197.86
10/21/2010,197.86,197.86
10/20/2010,197.85,197.85
10/19/2010,197.85,197.85
10/18/2010,197.85,197.85
10/15/2010,197.85,197.85
10/14/2010,197.85,197.85
10/13/2010,197.85,197.85
10/12/2010,197.85,197.85
10/8/2010,197.85,197.85
10/7/2010,197.85,197.85
10/6/2010,197.84,197.84
10/5/2010,197.84,197.84
10/4/2010,197.83,197.83
10/1/2010,197.83,197.83
9/30/2010,197.83,197.83
9/29/2010,197.83,197.83
9/28/2010,197.83,197.83
9/27/2010,197.83,197.83
9/24/2010,197.82,197.82
9/23/2010,197.82,197.82
9/22/2010,197.82,197.82
9/21/2010,197.82,197.82
9/20/2010,197.81,197.81
9/17/2010,197.81,197.81
9/16/2010,197.81,197.81
9/15/2010,197.81,197.81
9/14/2010,197.81,197.81
9/13/2010,197.81,197.81
9/10/2010,197.81,197.81
9/9/2010,197.81,197.81
9/8/2010,197.81,197.81
9/7/2010,197.81,197.81
9/3/2010,197.8,197.8
9/2/2010,197.8,197.8
9/1/2010,197.8,197.8
8/31/2010,197.8,197.8
8/30/2010,197.8,197.8
8/27/2010,197.79,197.79
8/26/2010,197.79,197.79
8/25/2010,197.79,197.79
8/24/2010,197.79,197.79
8/23/2010,197.79,197.79
8/20/2010,197.79,197.79
8/19/2010,197.78,197.78
8/18/2010,197.78,197.78
8/17/2010,197.78,197.78
8/16/2010,197.78,197.78
8/13/2010,197.78,197.78
8/12/2010,197.78,197.78
8/11/2010,197.78,197.78
8/10/2010,197.77,197.77
8/9/2010,197.77,197.77
8/6/2010,197.77,197.77
8/5/2010,197.77,197.77
8/4/2010,197.76,197.76
8/3/2010,197.76,197.76
8/2/2010,197.76,197.76
7/30/2010,197.75,197.75
7/29/2010,197.75,197.75
7/28/2010,197.75,197.75
7/27/2010,197.75,197.75
7/26/2010,197.75,197.75
7/23/2010,197.75,197.75
7/22/2010,197.75,197.75
7/21/2010,197.75,197.75
7/20/2010,197.74,197.74
7/19/2010,197.74,197.74
7/16/2010,197.74,197.74
7/15/2010,197.74,197.74
7/14/2010,197.74,197.74
7/13/2010,197.73,197.73
7/12/2010,197.73,197.73
7/9/2010,197.73,197.73
7/8/2010,197.73,197.73
7/7/2010,197.72,197.72
7/6/2010,197.72,197.72
7/2/2010,197.71,197.71
7/1/2010,197.71,197.71
6/30/2010,197.71,197.71
6/29/2010,197.72,197.72
6/28/2010,197.72,197.72
6/25/2010,197.72,197.72
6/24/2010,197.72,197.72
6/23/2010,197.72,197.72
6/22/2010,197.72,197.72
6/21/2010,197.72,197.72
6/18/2010,197.72,197.72
6/17/2010,197.73,197.73
6/16/2010,197.72,197.72
6/15/2010,197.72,197.72
6/14/2010,197.73,197.73
6/11/2010,197.72,197.72
6/10/2010,197.71,197.71
6/9/2010,197.71,197.71
6/8/2010,197.7,197.7
6/7/2010,197.69,197.69
6/4/2010,197.68,197.68
6/3/2010,197.68,197.68
6/2/2010,197.67,197.67
6/1/2010,197.67,197.67
5/31/2010,197.67,197.67
5/28/2010,197.67,197.67
5/27/2010,197.66,197.66
5/26/2010,197.66,197.66
5/25/2010,197.66,197.66
5/24/2010,197.66,197.66
5/21/2010,197.65,197.65
5/20/2010,197.65,197.65
5/19/2010,197.65,197.65
5/18/2010,197.65,197.65
5/17/2010,197.65,197.65
5/14/2010,197.65,197.65
5/13/2010,197.64,197.64
5/12/2010,197.64,197.64
5/11/2010,197.64,197.64
5/10/2010,197.64,197.64
5/7/2010,197.65,197.65
5/6/2010,197.66,197.66
5/5/2010,197.63,197.63
5/4/2010,197.62,197.62
5/3/2010,197.62,197.62
4/30/2010,197.62,197.62
4/29/2010,197.61,197.61
4/28/2010,197.61,197.61
4/27/2010,197.61,197.61
4/26/2010,197.61,197.61
4/23/2010,197.61,197.61
4/22/2010,197.61,197.61
4/21/2010,197.61,197.61
4/20/2010,197.61,197.61
4/19/2010,197.61,197.61
4/16/2010,197.6,197.6
4/15/2010,197.6,197.6
4/14/2010,197.6,197.6
4/13/2010,197.59,197.59
4/12/2010,197.59,197.59
4/9/2010,197.59,197.59
4/8/2010,197.59,197.59
4/7/2010,197.58,197.58
4/6/2010,197.57,197.57
4/5/2010,197.57,197.57
4/2/2010,197.57,197.57
4/1/2010,197.58,197.58
3/31/2010,197.58,197.58
3/30/2010,197.58,197.58
3/29/2010,197.58,197.58
3/26/2010,197.58,197.58
3/25/2010,197.57,197.57
3/24/2010,197.57,197.57
3/23/2010,197.58,197.58
3/22/2010,197.57,197.57
3/19/2010,197.56,197.56
3/18/2010,197.56,197.56
3/17/2010,197.56,197.56
3/16/2010,197.56,197.56
3/15/2010,197.56,197.56
3/12/2010,197.56,197.56
3/11/2010,197.56,197.56
3/10/2010,197.56,197.56
3/9/2010,197.56,197.56
3/8/2010,197.56,197.56
3/5/2010,197.56,197.56
3/4/2010,197.56,197.56
3/3/2010,197.56,197.56
3/2/2010,197.57,197.57
3/1/2010,197.57,197.57
2/26/2010,197.57,197.57
2/25/2010,197.56,197.56
2/24/2010,197.56,197.56
2/23/2010,197.56,197.56
2/22/2010,197.57,197.57
2/19/2010,197.56,197.56
2/18/2010,197.56,197.56
2/17/2010,197.56,197.56
2/16/2010,197.56,197.56
2/12/2010,197.56,197.56
2/11/2010,197.56,197.56
2/10/2010,197.55,197.55
2/9/2010,197.56,197.56
2/8/2010,197.56,197.56
2/5/2010,197.56,197.56
2/4/2010,197.56,197.56
2/3/2010,197.55,197.55
2/2/2010,197.55,197.55
2/1/2010,197.55,197.55
1/29/2010,197.56,197.56
1/28/2010,197.56,197.56
1/27/2010,197.55,197.55
1/26/2010,197.56,197.56
1/25/2010,197.56,197.56
1/22/2010,197.56,197.56
1/21/2010,197.56,197.56
1/20/2010,197.56,197.56
1/19/2010,197.55,197.55
1/15/2010,197.55,197.55
1/14/2010,197.55,197.55
1/13/2010,197.55,197.55
1/12/2010,197.55,197.55
1/11/2010,197.55,197.55
1/8/2010,197.54,197.54
1/7/2010,197.53,197.53
1/6/2010,197.53,197.53
1/5/2010,197.52,197.52
1/4/2010,197.51,197.51
12/31/2009,197.49,197.49
12/30/2009,197.5,197.5
12/29/2009,197.49,197.49
12/28/2009,197.49,197.49
12/24/2009,197.5,197.5
12/23/2009,197.5,197.5
12/22/2009,197.5,197.5
12/21/2009,197.5,197.5
12/18/2009,197.51,197.51
12/17/2009,197.51,197.51
12/16/2009,197.5,197.5
12/15/2009,197.5,197.5
12/14/2009,197.5,197.5
12/11/2009,197.51,197.51
12/10/2009,197.51,197.51
12/9/2009,197.51,197.51
12/8/2009,197.51,197.51
12/7/2009,197.5,197.5
12/4/2009,197.49,197.49
12/3/2009,197.5,197.5
12/2/2009,197.5,197.5
12/1/2009,197.51,197.51
11/30/2009,197.5,197.5
11/27/2009,197.51,197.51
11/25/2009,197.5,197.5
11/24/2009,197.5,197.5
11/23/2009,197.5,197.5
11/20/2009,197.5,197.5
11/19/2009,197.51,197.51
11/18/2009,197.49,197.49
11/17/2009,197.48,197.48
11/16/2009,197.48,197.48
11/13/2009,197.48,197.48
11/12/2009,197.48,197.48
11/10/2009,197.47,197.47
11/9/2009,197.47,197.47
11/6/2009,197.47,197.47
11/5/2009,197.47,197.47
11/4/2009,197.46,197.46
11/3/2009,197.46,197.46
11/2/2009,197.46,197.46
10/30/2009,197.46,197.46
10/29/2009,197.45,197.45
10/28/2009,197.45,197.45
10/27/2009,197.45,197.45
10/26/2009,197.45,197.45
10/23/2009,197.45,197.45
10/22/2009,197.45,197.45
10/21/2009,197.44,197.44
10/20/2009,197.44,197.44
10/19/2009,197.44,197.44
10/16/2009,197.44,197.44
10/15/2009,197.44,197.44
10/14/2009,197.44,197.44
10/13/2009,197.44,197.44
10/9/2009,197.43,197.43
10/8/2009,197.44,197.44
10/7/2009,197.44,197.44
10/6/2009,197.44,197.44
10/5/2009,197.43,197.43
10/2/2009,197.43,197.43
10/1/2009,197.43,197.43
9/30/2009,197.41,197.41
9/29/2009,197.41,197.41
9/28/2009,197.41,197.41
9/25/2009,197.41,197.41
9/24/2009,197.41,197.41
9/23/2009,197.4,197.4
9/22/2009,197.4,197.4
9/21/2009,197.4,197.4
9/18/2009,197.39,197.39
9/17/2009,197.38,197.38
9/16/2009,197.37,197.37
9/15/2009,197.38,197.38
9/14/2009,197.37,197.37
9/11/2009,197.37,197.37
9/10/2009,197.37,197.37
9/9/2009,197.36,197.36
9/8/2009,197.36,197.36
9/4/2009,197.35,197.35
9/3/2009,197.35,197.35
9/2/2009,197.35,197.35
9/1/2009,197.35,197.35
8/31/2009,197.34,197.34
8/28/2009,197.33,197.33
8/27/2009,197.33,197.33
8/26/2009,197.33,197.33
8/25/2009,197.32,197.32
8/24/2009,197.32,197.32
8/21/2009,197.32,197.32
8/20/2009,197.32,197.32
8/19/2009,197.32,197.32
8/18/2009,197.31,197.31
8/17/2009,197.31,197.31
8/14/2009,197.31,197.31
8/13/2009,197.3,197.3
8/12/2009,197.3,197.3
8/11/2009,197.29,197.29
8/10/2009,197.28,197.28
8/7/2009,197.27,197.27
8/6/2009,197.28,197.28
8/5/2009,197.28,197.28
8/4/2009,197.27,197.27
8/3/2009,197.27,197.27
7/31/2009,197.27,197.27
7/30/2009,197.27,197.27
7/29/2009,197.26,197.26
7/28/2009,197.27,197.27
7/27/2009,197.26,197.26
7/24/2009,197.25,197.25
7/23/2009,197.25,197.25
7/22/2009,197.25,197.25
7/21/2009,197.25,197.25
7/20/2009,197.25,197.25
7/17/2009,197.25,197.25
7/16/2009,197.25,197.25
7/15/2009,197.24,197.24
7/14/2009,197.24,197.24
7/13/2009,197.24,197.24
7/10/2009,197.24,197.24
7/9/2009,197.24,197.24
7/8/2009,197.24,197.24
7/7/2009,197.23,197.23
7/6/2009,197.23,197.23
7/2/2009,197.22,197.22
7/1/2009,197.21,197.21
6/30/2009,197.19,197.19
6/29/2009,197.19,197.19
6/26/2009,197.2,197.2
6/25/2009,197.21,197.21
6/24/2009,197.19,197.19
6/23/2009,197.18,197.18
6/22/2009,197.18,197.18
6/19/2009,197.18,197.18
6/18/2009,197.17,197.17
6/17/2009,197.18,197.18
6/16/2009,197.18,197.18
6/15/2009,197.19,197.19
6/12/2009,197.18,197.18
6/11/2009,197.17,197.17
6/10/2009,197.17,197.17
6/9/2009,197.16,197.16
6/8/2009,197.15,197.15
6/5/2009,197.14,197.14
6/4/2009,197.18,197.18
6/3/2009,197.19,197.19
6/2/2009,197.18,197.18
6/1/2009,197.17,197.17
5/29/2009,197.16,197.16
5/28/2009,197.16,197.16
5/27/2009,197.15,197.15
5/26/2009,197.15,197.15
5/22/2009,197.14,197.14
5/21/2009,197.15,197.15
5/20/2009,197.15,197.15
5/19/2009,197.14,197.14
5/18/2009,197.13,197.13
5/15/2009,197.14,197.14
5/14/2009,197.14,197.14
5/13/2009,197.13,197.13
5/12/2009,197.12,197.12
5/11/2009,197.12,197.12
5/8/2009,197.11,197.11
5/7/2009,197.11,197.11
5/6/2009,197.11,197.11
5/5/2009,197.11,197.11
5/4/2009,197.1,197.1
5/1/2009,197.11,197.11
4/30/2009,197.12,197.12
4/29/2009,197.13,197.13
4/28/2009,197.12,197.12
4/27/2009,197.12,197.12
4/24/2009,197.11,197.11
4/23/2009,197.11,197.11
4/22/2009,197.1,197.1
4/21/2009,197.1,197.1
4/20/2009,197.1,197.1
4/17/2009,197.08,197.08
4/16/2009,197.1,197.1
4/15/2009,197.09,197.09
4/14/2009,197.07,197.07
4/13/2009,197.06,197.06
4/9/2009,197.04,197.04
4/8/2009,197.04,197.04
4/7/2009,197.03,197.03
4/6/2009,197.02,197.02
4/3/2009,197.01,197.01
4/2/2009,197.01,197.01
4/1/2009,197.01,197.01
3/31/2009,197,197
3/30/2009,197.01,197.01
3/27/2009,197.01,197.01
3/26/2009,197.01,197.01
3/25/2009,197.01,197.01
3/24/2009,196.99,196.99
3/23/2009,196.99,196.99
3/20/2009,196.99,196.99
3/19/2009,196.99,196.99
3/18/2009,196.98,196.98
3/17/2009,196.96,196.96
3/16/2009,196.95,196.95
3/13/2009,196.96,196.96
3/12/2009,196.95,196.95
3/11/2009,196.94,196.94
3/10/2009,196.93,196.93
3/9/2009,196.93,196.93
3/6/2009,196.94,196.94
3/5/2009,196.94,196.94
3/4/2009,196.91,196.91
3/3/2009,196.91,196.91
3/2/2009,196.9,196.9
2/27/2009,196.88,196.88
2/26/2009,196.87,196.87
2/25/2009,196.86,196.86
2/24/2009,196.86,196.86
2/23/2009,196.86,196.86
2/20/2009,196.87,196.87
2/19/2009,196.86,196.86
2/18/2009,196.86,196.86
2/17/2009,196.86,196.86
2/13/2009,196.86,196.86
2/12/2009,196.87,196.87
2/11/2009,196.85,196.85
2/10/2009,196.86,196.86
2/9/2009,196.84,196.84
2/6/2009,196.85,196.85
2/5/2009,196.86,196.86
2/4/2009,196.86,196.86
2/3/2009,196.85,196.85
2/2/2009,196.88,196.88
1/30/2009,196.88,196.88
1/29/2009,196.89,196.89
1/28/2009,196.9,196.9
1/27/2009,196.91,196.91
1/26/2009,196.91,196.91
1/23/2009,196.91,196.91
1/22/2009,196.92,196.92
1/21/2009,196.91,196.91
1/20/2009,196.9,196.9
1/16/2009,196.9,196.9
1/15/2009,196.91,196.91
1/14/2009,196.91,196.91
1/13/2009,196.91,196.91
1/12/2009,196.91,196.91
1/9/2009,196.9,196.9
1/8/2009,196.9,196.9
1/7/2009,196.9,196.9
1/6/2009,196.89,196.89
1/5/2009,196.89,196.89
1/2/2009,196.92,196.92
12/31/2008,196.92,196.92
12/30/2008,196.93,196.93
12/29/2008,196.93,196.93
12/26/2008,196.92,196.92
12/24/2008,196.92,196.92
12/23/2008,196.92,196.92
12/22/2008,196.92,196.92
12/19/2008,196.93,196.93
12/18/2008,196.92,196.92
12/17/2008,196.91,196.91
12/16/2008,196.91,196.91
12/15/2008,196.89,196.89
12/12/2008,196.89,196.89
12/11/2008,196.89,196.89
12/10/2008,196.9,196.9
12/9/2008,196.89,196.89
12/8/2008,196.87,196.87
12/5/2008,196.87,196.87
12/4/2008,196.85,196.85
12/3/2008,196.81,196.81
12/2/2008,196.77,196.77
12/1/2008,196.76,196.76
11/28/2008,196.72,196.72
11/26/2008,196.72,196.72
11/25/2008,196.7,196.7
11/24/2008,196.7,196.7
11/21/2008,196.71,196.71
11/20/2008,196.71,196.71
11/19/2008,196.68,196.68
11/18/2008,196.64,196.64
11/17/2008,196.62,196.62
11/14/2008,196.59,196.59
11/13/2008,196.56,196.56
11/12/2008,196.62,196.62
11/10/2008,196.54,196.54
11/7/2008,196.51,196.51
11/6/2008,196.51,196.51
11/5/2008,196.46,196.46
11/4/2008,196.42,196.42
11/3/2008,196.41,196.41
10/31/2008,196.42,196.42
10/30/2008,196.41,196.41
10/29/2008,196.34,196.34
10/28/2008,196.28,196.28
10/27/2008,196.24,196.24
10/24/2008,196.22,196.22
10/23/2008,196.18,196.18
10/22/2008,196.14,196.14
10/21/2008,196.09,196.09
10/20/2008,196.03,196.03
10/17/2008,196.2,196.2
10/16/2008,196.3,196.3
10/15/2008,196.4,196.4
10/14/2008,196.34,196.34
10/10/2008,196.4,196.4
10/9/2008,196.21,196.21
10/8/2008,196.24,196.24
10/7/2008,196.17,196.17
10/6/2008,196.28,196.28
10/3/2008,196.2,196.2
10/2/2008,196.14,196.14
10/1/2008,196,196
9/30/2008,195.93,195.93
9/29/2008,196.05,196.05
9/26/2008,195.96,195.96
9/25/2008,195.98,195.98
9/24/2008,196.04,196.04
9/23/2008,195.92,195.92
9/22/2008,195.76,195.76
9/19/2008,195.69,195.69
9/18/2008,196.18,196.18
9/17/2008,196.15,196.15
9/16/2008,195.92,195.92
9/15/2008,195.82,195.82
9/12/2008,195.58,195.58
9/11/2008,195.55,195.55
9/10/2008,195.52,195.52
9/9/2008,195.5,195.5
9/8/2008,195.47,195.47
9/5/2008,195.46,195.46
9/4/2008,195.45,195.45
9/3/2008,195.43,195.43
9/2/2008,195.4,195.4
8/29/2008,195.37,195.37
8/28/2008,195.34,195.34
8/27/2008,195.35,195.35
8/26/2008,195.33,195.33
8/25/2008,195.32,195.32
8/22/2008,195.27,195.27
8/21/2008,195.27,195.27
8/20/2008,195.27,195.27
8/19/2008,195.22,195.22
8/18/2008,195.2,195.2
8/15/2008,195.17,195.17
8/14/2008,195.16,195.16
8/13/2008,195.15,195.15
8/12/2008,195.13,195.13
8/11/2008,195.11,195.11
8/8/2008,195.14,195.14
8/7/2008,195.15,195.15
8/6/2008,195.14,195.14
8/5/2008,195.09,195.09
8/4/2008,195.08,195.08
8/1/2008,195.07,195.07
7/31/2008,195.06,195.06
7/30/2008,195.04,195.04
7/29/2008,195.02,195.02
7/28/2008,195.02,195.02
7/25/2008,194.97,194.97
7/24/2008,194.99,194.99
7/23/2008,195,195
7/22/2008,195.01,195.01
7/21/2008,195.02,195.02
7/18/2008,194.99,194.99
7/17/2008,194.99,194.99
7/16/2008,194.99,194.99
7/15/2008,194.97,194.97
7/14/2008,194.92,194.92
7/11/2008,194.85,194.85
7/10/2008,194.83,194.83
7/9/2008,194.77,194.77
7/8/2008,194.75,194.75
7/7/2008,194.74,194.74
7/3/2008,194.69,194.69
7/2/2008,194.69,194.69
7/1/2008,194.66,194.66
6/30/2008,194.65,194.65
6/27/2008,194.66,194.66
6/26/2008,194.65,194.65
6/25/2008,194.61,194.61
6/24/2008,194.59,194.59
6/23/2008,194.57,194.57
6/20/2008,194.55,194.55
6/19/2008,194.52,194.52
6/18/2008,194.5,194.5
6/17/2008,194.45,194.45
6/16/2008,194.41,194.41
6/13/2008,194.41,194.41
6/12/2008,194.4,194.4
6/11/2008,194.41,194.41
6/10/2008,194.37,194.37
6/9/2008,194.41,194.41
6/6/2008,194.41,194.41
6/5/2008,194.39,194.39
6/4/2008,194.38,194.38
6/3/2008,194.37,194.37
6/2/2008,194.35,194.35
5/30/2008,194.31,194.31
5/29/2008,194.29,194.29
5/28/2008,194.29,194.29
5/27/2008,194.28,194.28
5/23/2008,194.26,194.26
5/22/2008,194.25,194.25
5/21/2008,194.24,194.24
5/20/2008,194.23,194.23
5/19/2008,194.22,194.22
5/16/2008,194.2,194.2
5/15/2008,194.2,194.2
5/14/2008,194.19,194.19
5/13/2008,194.18,194.18
5/12/2008,194.17,194.17
5/9/2008,194.2,194.2
5/8/2008,194.21,194.21
5/7/2008,194.2,194.2
5/6/2008,194.21,194.21
5/5/2008,194.21,194.21
5/2/2008,194.21,194.21
5/1/2008,194.24,194.24
4/30/2008,194.24,194.24
4/29/2008,194.21,194.21
4/28/2008,194.22,194.22
4/25/2008,194.23,194.23
4/24/2008,194.24,194.24
4/23/2008,194.25,194.25
4/22/2008,194.23,194.23
4/21/2008,194.2,194.2
4/18/2008,194.16,194.16
4/17/2008,194.19,194.19
4/16/2008,194.21,194.21
4/15/2008,194.21,194.21
4/14/2008,194.22,194.22
4/11/2008,194.19,194.19
4/10/2008,194.14,194.14
4/9/2008,194.08,194.08
4/8/2008,194.06,194.06
4/7/2008,194.02,194.02
4/4/2008,194.02,194.02
4/3/2008,194,194
4/2/2008,193.98,193.98
4/1/2008,194,194
3/31/2008,194.02,194.02
3/28/2008,193.96,193.96
3/27/2008,193.99,193.99
3/26/2008,193.99,193.99
3/25/2008,193.99,193.99
3/24/2008,194.04,194.04
3/20/2008,194.16,194.16
3/19/2008,194.15,194.15
3/18/2008,194.09,194.09
3/17/2008,194.02,194.02
3/14/2008,193.94,193.94
3/13/2008,193.84,193.84
3/12/2008,193.79,193.79
3/11/2008,193.78,193.78
3/10/2008,193.84,193.84
3/7/2008,193.77,193.77
3/6/2008,193.77,193.77
3/5/2008,193.68,193.68
3/4/2008,193.64,193.64
3/3/2008,193.6,193.6
2/29/2008,193.54,193.54
2/28/2008,193.51,193.51
2/27/2008,193.47,193.47
2/26/2008,193.42,193.42
2/25/2008,193.39,193.39
2/22/2008,193.36,193.36
2/21/2008,193.35,193.35
2/20/2008,193.32,193.32
2/19/2008,193.31,193.31
2/15/2008,193.27,193.27
2/14/2008,193.23,193.23
2/13/2008,193.23,193.23
2/12/2008,193.2,193.2
2/11/2008,193.21,193.21
2/8/2008,193.2,193.2
2/7/2008,193.2,193.2
2/6/2008,193.21,193.21
2/5/2008,193.18,193.18
2/4/2008,193.13,193.13
2/1/2008,193.16,193.16
1/31/2008,193.21,193.21
1/30/2008,193.13,193.13
1/29/2008,193.08,193.08
1/28/2008,193.06,193.06
1/25/2008,193.02,193.02
1/24/2008,192.98,192.98
1/23/2008,193.04,193.04
1/22/2008,192.96,192.96
1/18/2008,192.71,192.71
1/17/2008,192.6,192.6
1/16/2008,192.57,192.57
1/15/2008,192.55,192.55
1/14/2008,192.52,192.52
1/11/2008,192.48,192.48
1/10/2008,192.41,192.41
1/9/2008,192.4,192.4
1/8/2008,192.37,192.37
1/7/2008,192.36,192.36
1/4/2008,192.33,192.33
1/3/2008,192.3,192.3
1/2/2008,192.29,192.29
12/31/2007,192.23,192.23
12/28/2007,192.21,192.21
12/27/2007,192.18,192.18
12/26/2007,192.12,192.12
12/24/2007,192.1,192.1
12/21/2007,192.14,192.14
12/20/2007,192.17,192.17
12/19/2007,192.12,192.12
12/18/2007,192.07,192.07
12/17/2007,192.05,192.05
12/14/2007,192.05,192.05
12/13/2007,192.04,192.04
12/12/2007,192.01,192.01
12/11/2007,191.99,191.99
12/10/2007,191.92,191.92
12/7/2007,191.86,191.86
12/6/2007,191.84,191.84
12/5/2007,191.83,191.83
12/4/2007,191.81,191.81
12/3/2007,191.79,191.79
11/30/2007,191.72,191.72
11/29/2007,191.76,191.76
11/28/2007,191.72,191.72
11/27/2007,191.67,191.67
11/26/2007,191.67,191.67
11/23/2007,191.61,191.61
11/21/2007,191.6,191.6
11/20/2007,191.54,191.54
11/19/2007,191.45,191.45
11/16/2007,191.38,191.38
11/15/2007,191.39,191.39
11/14/2007,191.33,191.33
11/13/2007,191.29,191.29
11/9/2007,191.26,191.26
11/8/2007,191.21,191.21
11/7/2007,191.16,191.16
11/6/2007,191.04,191.04
11/5/2007,191.03,191.03
11/2/2007,191,191
11/1/2007,190.91,190.91
10/31/2007,190.83,190.83
10/30/2007,190.81,190.81
10/29/2007,190.78,190.78
10/26/2007,190.72,190.72
10/25/2007,190.72,190.72
10/24/2007,190.72,190.72
10/23/2007,190.66,190.66
10/22/2007,190.65,190.65
10/19/2007,190.62,190.62
10/18/2007,190.61,190.61
10/17/2007,190.53,190.53
10/16/2007,190.42,190.42
10/15/2007,190.38,190.38
10/12/2007,190.34,190.34
10/11/2007,190.35,190.35
10/10/2007,190.35,190.35
10/9/2007,190.33,190.33
10/5/2007,190.27,190.27
10/4/2007,190.26,190.26
10/3/2007,190.24,190.24
10/2/2007,190.22,190.22
10/1/2007,190.21,190.21
9/28/2007,190.23,190.23
9/27/2007,190.2,190.2
9/26/2007,190.17,190.17
9/25/2007,190.15,190.15
9/24/2007,190.12,190.12
9/21/2007,190.07,190.07
9/20/2007,190.03,190.03
9/19/2007,189.98,189.98
9/18/2007,189.93,189.93
9/17/2007,189.86,189.86
9/14/2007,189.83,189.83
9/13/2007,189.78,189.78
9/12/2007,189.77,189.77
9/11/2007,189.72,189.72
9/10/2007,189.76,189.76
9/7/2007,189.67,189.67
9/6/2007,189.56,189.56
9/5/2007,189.53,189.53
9/4/2007,189.47,189.47
8/31/2007,189.51,189.51
8/30/2007,189.54,189.54
8/29/2007,189.48,189.48
8/28/2007,189.34,189.34
8/27/2007,189.26,189.26
8/24/2007,189.34,189.34
8/23/2007,189.44,189.44
8/22/2007,189.53,189.53
8/21/2007,189.53,189.53
8/20/2007,189.56,189.56
8/17/2007,189.31,189.31
8/16/2007,189.26,189.26
8/15/2007,189.05,189.05
8/14/2007,188.92,188.92
8/13/2007,188.86,188.86
8/10/2007,188.83,188.83
8/9/2007,188.72,188.72
8/8/2007,188.64,188.64
8/7/2007,188.63,188.63
8/6/2007,188.62,188.62
8/3/2007,188.55,188.55
8/2/2007,188.51,188.51
8/1/2007,188.49,188.49
7/31/2007,188.44,188.44
7/30/2007,188.42,188.42
7/27/2007,188.36,188.36
7/26/2007,188.32,188.32
7/25/2007,188.28,188.28
7/24/2007,188.25,188.25
7/23/2007,188.23,188.23
7/20/2007,188.17,188.17
7/19/2007,188.14,188.14
7/18/2007,188.12,188.12
7/17/2007,188.09,188.09
7/16/2007,188.07,188.07
7/13/2007,187.99,187.99
7/12/2007,187.97,187.97
7/11/2007,187.95,187.95
7/10/2007,187.93,187.93
7/9/2007,187.91,187.91
7/6/2007,187.83,187.83
7/5/2007,187.8,187.8
7/3/2007,187.75,187.75
7/2/2007,187.74,187.74
6/29/2007,187.71,187.71
6/28/2007,187.69,187.69
6/27/2007,187.67,187.67
6/26/2007,187.63,187.63
6/25/2007,187.61,187.61
6/22/2007,187.55,187.55
6/21/2007,187.54,187.54
6/20/2007,187.5,187.5
6/19/2007,187.49,187.49
6/18/2007,187.47,187.47
6/15/2007,187.39,187.39
6/14/2007,187.35,187.35
6/13/2007,187.32,187.32
6/12/2007,187.27,187.27
6/11/2007,187.25,187.25
6/8/2007,187.17,187.17
6/7/2007,187.14,187.14
6/6/2007,187.12,187.12
6/5/2007,187.08,187.08
6/4/2007,187.06,187.06
6/1/2007,186.98,186.98
5/31/2007,186.97,186.97
5/30/2007,186.93,186.93
5/29/2007,186.9,186.9
5/25/2007,186.8,186.8
5/24/2007,186.77,186.77
5/23/2007,186.74,186.74
