Date,0,1,2
1/7/00,3.2239803647794933,-3.324300255,-1.265795379
1/14/00,3.1720827406536576,-3.287665779,-1.125722146
1/21/00,3.158028391,-3.252370033,-1.20235024
1/28/00,3.0728505494060685,-3.130505222,-1.512033731
2/4/00,3.0866076944779492,-3.209385694,-0.931973737
2/11/00,3.0701742371920453,-3.247338511,-0.540323499
2/18/00,2.9616955786711303,-3.142774158,-0.474343644
2/25/00,2.9884463959532135,-3.21221482,-0.220603129
3/3/00,2.824265725682397,-3.016934662,-0.102899653
3/10/00,2.7754460775975707,-2.961872523,0.069871004
3/17/00,2.781144750435154,-2.967967856,0.17209499682686766
3/24/00,2.7940242082203315,-2.993121857,0.2684056801922877
3/31/00,2.683727856867524,-2.835191228,0.1780919501321182
4/7/00,2.575598071822718,-2.734311486,0.16949321644487214
4/14/00,2.514570018236813,-2.659811577,0.5572543635908953
4/21/00,2.5091307707266752,-2.655497425,0.3677447781054165
4/28/00,2.591014606788656,-2.750163135,0.187992304
5/5/00,2.641676240315346,-2.794135956,0.003739592
5/12/00,2.6123363797961447,-2.783591216,0.005359503
5/19/00,2.824728550769111,-2.96744986,-0.413313598
5/26/00,2.7113231690050115,-2.861089944,-0.393040266
6/2/00,2.617258368188733,-2.747875734,-0.15505252
6/9/00,2.663386223980957,-2.765097008,-0.287360699
6/16/00,2.6233242055822346,-2.714694173,-0.412787427
6/23/00,2.6799252918910743,-2.719700447,-0.45507889
6/30/00,2.681988374277706,-2.692040185,-0.324225301
7/7/00,2.781176727266708,-2.769786389,-0.511130426
7/14/00,2.8352138192336733,-2.790156252,-0.798998098
7/21/00,2.8626520646600597,-2.823422353,-0.926708631
7/28/00,2.913681846183991,-2.871753946,-1.132250428
8/4/00,2.8541358399749264,-2.805355573,-1.090098867
8/11/00,2.8548956206909297,-2.760123285,-0.958012024
8/18/00,2.9818495272681513,-2.833314922,-1.093095976
8/25/00,3.0436236411257966,-2.885517342,-0.854040933
9/1/00,3.1003875693034613,-2.92918722,-0.691074529
9/8/00,3.078384210559467,-2.897101969,-0.924788835
9/15/00,3.188527344817172,-2.99371043,-1.125211042
9/22/00,3.2741311891691587,-3.030527099,-1.488854636
9/29/00,3.373704867,-3.066619129,-1.824510144
10/6/00,3.4390095114402754,-3.116516956,-2.14325624
10/13/00,3.6950557293172794,-3.364014931,-2.640941261
10/20/00,3.777184815014942,-3.422378108,-2.931014705
10/27/00,3.7953604068451834,-3.451940435,-2.91192241
11/3/00,3.831176871,-3.478870996,-3.062714634
11/10/00,3.7821654636777917,-3.417160797,-3.056946779
11/17/00,3.615931886309568,-3.255463971,-2.890320999
11/24/00,3.3465535624616183,-2.990633527,-2.585148107
12/1/00,3.3243350026900864,-2.911154681,-2.824053944
12/8/00,3.4875117556915067,-3.003026327,-3.341957536
12/15/00,3.410572942734351,-2.965868049,-2.920892899
12/22/00,3.465405938,-2.992044127,-3.329170415
12/29/00,3.4731053424788936,-3.024627863,-3.16307237
1/5/01,3.469300501844199,-3.061590727,-3.231051731
1/12/01,3.3362678259746463,-2.92643757,-3.334889733
1/19/01,3.3046788345647293,-2.920734065,-3.272979845
1/26/01,3.1391833399219573,-2.768319418,-3.226191774
2/2/01,3.1242256315079007,-2.774520474,-2.825207973
2/9/01,3.096489991,-2.773381779,-3.063608508
2/16/01,2.997700157276948,-2.70819119,-2.922004576
2/23/01,2.9310934460846414,-2.728488612,-2.637116224
3/2/01,2.583863279083825,-2.44163319,-2.415204483
3/9/01,2.5471240316309296,-2.440277652,-2.2319828
3/16/01,2.6042552854012655,-2.543473389,-2.605791398
3/23/01,2.5081754189924546,-2.478426494,-2.34720766
3/30/01,2.7935229084519793,-2.77609294,-2.600124286
4/6/01,2.829126402519863,-2.81754301,-2.663451813
4/13/01,3.0612659370620734,-3.093686591,-2.611216654
4/20/01,3.3982266643515766,-3.414870054,-3.224293996
4/27/01,3.2747304126750336,-3.234674886,-3.53441506
5/4/01,3.3779268540244325,-3.328414238,-3.690447154
5/11/01,3.3488635964602853,-3.280245494,-3.995490149
5/18/01,3.251845360782163,-3.183165308,-3.888711886
5/25/01,3.245713424092155,-3.198540546,-3.787879341
6/1/01,3.2174386865829314,-3.146550865,-3.898671845
6/8/01,3.2458010036655596,-3.177733162,-3.885857681
6/15/01,3.1783501563751915,-3.097869215,-3.955279217
6/22/01,3.1758740833147283,-3.0850766,-4.000566113
