DATE,y2_diff_ewm,y10_diff_ewm,slope_diff_ewm
1980-01-03,0.05999999999999872,0.09999999999999964,0.040000000000000924
1980-01-04,0.039669959877339706,0.07966995987733973,0.04000000000000003
1980-01-07,-0.015319445257061207,0.04190026381553013,0.05685037148089358
1980-01-08,-0.034923866013807335,0.015150386903937095,0.050026594393890546
1980-01-09,-0.031738877837792966,0.014051213179396654,0.045932658528138846
1980-01-10,-0.036846106244762776,-0.0011381604458352201,0.03635226867725513
1980-01-11,-0.007439532192926499,0.025796235402119685,0.03393842246585835
1980-01-14,-0.003600541125599548,0.024985299713551356,0.02953097077501025
1980-01-15,-0.0069356926986987024,0.015512100225304476,0.02378223800724011
1980-01-16,-0.0084445315831056,0.013720557860373591,0.02338501521509759
1980-01-17,-7.92478825026633e-05,0.018655773294651262,0.020180315546883192
1980-01-18,0.014820026522811641,0.02772406700098512,0.014856286508556792
1980-01-21,0.019024428708809868,0.03817235064980993,0.020204771016640796
1980-01-22,0.015600324309904198,0.025171325024502575,0.01175774272234657
1980-01-23,0.011808807500302995,0.02058401102171747,0.0109120941667976
1980-01-24,0.022744733918609317,0.03399094930799895,0.012883930864136658
1980-01-25,0.03161013997426921,0.038225667233861296,0.008850393239693556
1980-01-28,0.0271445785138571,0.039079082055585405,0.01318358449523209
1980-01-29,0.031525121677609604,0.04053711036744767,0.01067873820189558
1980-01-30,0.02671926065270542,0.03445381040490359,0.009533188871342975
1980-01-31,0.019139927041906105,0.030268409222492614,0.012209925969557679
1980-02-01,0.03617550190011348,0.038427796473733816,0.004971878917143363
1980-02-04,0.03885042856665648,0.04279636665927922,0.00619679190337253
1980-02-05,0.05850147515496399,0.05983957754033487,0.004018622308630653
1980-02-06,0.051075515644078834,0.06736140579903434,0.015666355166843064
1980-02-07,0.03636083334240373,0.05172882164417722,0.014977313926400851
1980-02-08,0.039863948516901025,0.05383551713825111,0.013913891637185108
1980-02-11,0.053329050498045434,0.06224202501705722,0.01003806422699072
1980-02-13,0.04630191919442709,0.051055771365887806,0.006832122124446811
1980-02-14,0.04804275334796532,0.05410081499766819,0.007733863943594553
1980-02-15,0.07247171142281265,0.06301661374469714,-0.003917762789221732
1980-02-19,0.11018150808060603,0.0922366765079837,-0.010409933596630803
1980-02-20,0.10821530907032972,0.08723393614889419,-0.01291088196829394
1980-02-21,0.1261131415080481,0.10132778692353159,-0.015964390133522525
1980-02-22,0.12060966914331878,0.08894150372775877,-0.021237970183265713
1980-02-25,0.11964719149101921,0.09459497135369545,-0.016847172218406436
1980-02-26,0.1274910832432736,0.1077364403429352,-0.01335112404872986
1980-02-27,0.1176108520664766,0.09421080602047247,-0.016125854112206746
1980-02-28,0.09394909031109192,0.06576835655990645,-0.019697125789508593
1980-02-29,0.10396283663889756,0.053995181622405714,-0.03507343098656509
1980-03-03,0.10378934091809328,0.054695883607823556,-0.03492053039509706
1980-03-04,0.10059492936675363,0.057522961626920596,-0.03122664226641125
1980-03-05,0.10185427360532394,0.06019869396231967,-0.03061045082164588
1980-03-06,0.10940557540271938,0.061885805294730596,-0.03487005884637783
1980-03-07,0.10187556925691926,0.04795590290477807,-0.03949717451240344
1980-03-10,0.07726725458693405,0.03639937535347526,-0.031245871029306902
1980-03-11,0.06254729032371799,0.025835323949778256,-0.02877306916116981
1980-03-12,0.07265445605619578,0.03335750022880435,-0.030672654991359544
1980-03-13,0.06768627129798757,0.027145672141249425,-0.03170525500417658
1980-03-14,0.06938654600695901,0.02685854061223835,-0.03321278621687445
1980-03-17,0.06741725904607113,0.028180055257703094,-0.031347297245966244
1980-03-18,0.048916044431201455,0.01993991477012527,-0.025034650211642338
