Security,USSFCT30 BGN Curncy
Start Date,10/16/2020 0:00
End Date,7/22/2025 0:00
Period,D
Pricing Source,BGN
,
Date,PX_LAST
7/22/2025,-84.35
7/21/2025,-84.9866
7/18/2025,-86.625
7/17/2025,-86.125
7/16/2025,-87.25
7/15/2025,-87.1089
7/14/2025,-87.0205
7/11/2025,-86.75
7/10/2025,-85.2634
7/9/2025,-86.0389
7/8/2025,-86.375
7/7/2025,-87.125
7/3/2025,-85.7549
7/2/2025,-86.375
7/1/2025,-85.6298
6/30/2025,-87.625
6/27/2025,-88.62
6/26/2025,-89.625
6/25/2025,-89.825
6/24/2025,-90.1265
6/23/2025,-89.375
6/20/2025,-88.2435
6/19/2025,-87.91
6/18/2025,-87.9085
6/17/2025,-86.6363
6/16/2025,-87.375
6/13/2025,-87.5
6/12/2025,-85.0219
6/11/2025,-85.25
6/10/2025,-85
6/9/2025,-85.2613
6/6/2025,-85.75
6/5/2025,-84.875
6/4/2025,-85.75
6/3/2025,-87.75
6/2/2025,-88.98
5/30/2025,-89.0832
5/29/2025,-88.875
5/28/2025,-89.75
5/27/2025,-89.9838
5/23/2025,-91.3616
5/22/2025,-89.8906
5/21/2025,-91.985
5/20/2025,-88.4776
5/19/2025,-87.625
5/16/2025,-86.2037
5/15/2025,-86.0249
5/14/2025,-85.875
5/13/2025,-85.508
5/12/2025,-83.9952
5/9/2025,-85.8696
5/8/2025,-86.8678
5/7/2025,-88.3719
5/6/2025,-89.905
5/5/2025,-89.01
5/2/2025,-88.8652
5/1/2025,-87.9693
4/30/2025,-87.0524
4/29/2025,-85.3054
4/28/2025,-84.9387
4/25/2025,-85.625
4/24/2025,-85.3301
4/23/2025,-87.8818
4/22/2025,-90.51
4/21/2025,-93.0171
4/17/2025,-89
4/16/2025,-88
4/15/2025,-87.375
4/14/2025,-85.8433
4/11/2025,-89.375
4/10/2025,-92.175
4/9/2025,-88.0552
4/8/2025,-97.0518
4/7/2025,-89.5
4/4/2025,-83.6468
4/3/2025,-82.1538
4/2/2025,-77.4
4/1/2025,-77.46
3/31/2025,-78.447
3/28/2025,-79.54
3/27/2025,-79.1207
3/26/2025,-79.2788
3/25/2025,-77.75
3/24/2025,-77.3635
3/21/2025,-76.875
3/20/2025,-75.75
3/19/2025,-73.75
3/18/2025,-73.75
3/17/2025,-73.5144
3/14/2025,-74.375
3/13/2025,-75.4838
3/12/2025,-76.4332
3/11/2025,-77.61
3/10/2025,-78.375
3/7/2025,-77.8101
3/6/2025,-77.125
3/5/2025,-76.87
3/4/2025,-77.504
3/3/2025,-75.8831
2/28/2025,-75.75
2/27/2025,-75.5395
2/26/2025,-74.4758
2/25/2025,-75.1
2/24/2025,-73.65
2/21/2025,-72.8032
2/20/2025,-72.75
2/19/2025,-71.125
2/18/2025,-72.25
2/14/2025,-71.2732
2/13/2025,-69.52
2/12/2025,-71.6
2/11/2025,-75.16
2/10/2025,-75.5321
2/7/2025,-74.75
2/6/2025,-76.3992
2/5/2025,-79
2/4/2025,-81.6343
2/3/2025,-81.5
1/31/2025,-81.375
1/30/2025,-81.26
1/29/2025,-81.9134
1/28/2025,-82.0356
1/27/2025,-82
1/24/2025,-82
1/23/2025,-82.9186
1/22/2025,-81.9048
1/21/2025,-81.225
1/17/2025,-81.125
1/16/2025,-81.25
1/15/2025,-82.105
1/14/2025,-82.6023
1/13/2025,-83.5
1/10/2025,-84.75
1/9/2025,-84
1/8/2025,-83.7623
1/7/2025,-83.5
1/6/2025,-83.434
1/3/2025,-85.0309
1/2/2025,-84.75
12/31/2024,-85.125
12/30/2024,-83.8
12/27/2024,-82.832
12/26/2024,-83.25
12/24/2024,-83.625
12/23/2024,-83.875
12/20/2024,-84.9944
12/19/2024,-84.7541
12/18/2024,-83.895
12/17/2024,-82.3886
12/16/2024,-83.0268
12/13/2024,-83.915
12/12/2024,-82.7928
12/11/2024,-82.4858
12/10/2024,-81.8068
12/9/2024,-80.7692
12/6/2024,-79.892
12/5/2024,-79.125
12/4/2024,-79.3303
12/3/2024,-79.5014
12/2/2024,-79
11/29/2024,-79.53
11/28/2024,-80
11/27/2024,-80
11/26/2024,-79.3557
11/25/2024,-81.3594
11/22/2024,-84.4237
11/21/2024,-84.1884
11/20/2024,-83.7943
11/19/2024,-83.3091
11/18/2024,-83.734
11/15/2024,-83.675
11/14/2024,-82.575
11/13/2024,-83.2881
11/12/2024,-81.5
11/8/2024,-79.25
11/7/2024,-80.7407
11/6/2024,-82.3962
11/5/2024,-84.125
11/4/2024,-84.125
11/1/2024,-84.375
10/31/2024,-83.5136
10/30/2024,-82.5
10/29/2024,-82.25
10/28/2024,-82.7747
10/25/2024,-82.41
10/24/2024,-82.1378
10/23/2024,-82.125
10/22/2024,-82.0045
10/21/2024,-81.75
10/18/2024,-81.4137
10/17/2024,-81.5307
10/16/2024,-80.75
10/15/2024,-81.625
10/11/2024,-82.125
10/10/2024,-81.99
10/9/2024,-81.8704
10/8/2024,-82
10/7/2024,-81.87
10/4/2024,-82.5
10/3/2024,-82.185
10/2/2024,-81.875
10/1/2024,-81.6399
9/30/2024,-81.875
9/27/2024,-81
9/26/2024,-81.5
9/25/2024,-81.875
9/24/2024,-81.146
9/23/2024,-80.8671
9/20/2024,-80.739
9/19/2024,-81
9/18/2024,-80.63
9/17/2024,-80.75
9/16/2024,-81.1303
9/13/2024,-81.625
9/12/2024,-81.9916
9/11/2024,-81.875
9/10/2024,-82
9/9/2024,-82.1366
9/6/2024,-81.75
9/5/2024,-81.75
9/4/2024,-81.875
9/3/2024,-81.75
8/30/2024,-82
8/29/2024,-80.875
8/28/2024,-80.125
8/27/2024,-80.125
8/26/2024,-80.6173
8/23/2024,-79.8871
8/22/2024,-80.5
8/21/2024,-80.125
8/20/2024,-80.8545
8/19/2024,-81.005
8/16/2024,-80.625
8/15/2024,-80.7826
8/14/2024,-81.005
8/13/2024,-81.8787
8/12/2024,-82.375
8/9/2024,-82.875
8/8/2024,-83.2641
8/7/2024,-82.7984
8/6/2024,-81.6789
8/5/2024,-81.1545
8/2/2024,-80.633
8/1/2024,-79.875
7/31/2024,-79.75
7/30/2024,-81.125
7/29/2024,-80.875
7/26/2024,-81.5
7/25/2024,-82.4375
