date,corr
1981-08-31,-0.3410073422304335
1981-09-30,-0.3368843809969744
1981-10-30,0.0907516333135543
1981-11-30,-0.053589269489144935
1981-12-31,-0.10513732130834941
1982-01-29,-0.033546982300210686
1982-02-26,-0.04540828906816007
1982-03-31,-0.008398005070464324
1982-04-30,-0.10716164216738597
1982-05-28,-0.05550660318272834
1982-06-30,-0.05141402747968287
1982-07-30,-0.0012552700205245824
1982-08-31,-0.05330685791770311
1982-09-30,-0.03740923944142308
1982-10-29,0.005529330431277396
1982-11-30,0.012678897871854836
1982-12-31,0.010895508380968956
1983-01-31,-0.02482875551998638
1983-02-28,-0.05040112993901985
1983-03-31,-0.0905950349688759
1983-04-29,-0.0826130024190659
1983-05-31,-0.11617733372719441
1983-06-30,-0.17060794479234137
1983-07-29,-0.3050480250225684
1983-08-31,-0.03179401489725921
1983-09-30,0.2071958198889753
1983-10-31,0.30387986446876597
1983-11-30,0.32166649337533443
1983-12-30,0.3281508024637423
1984-01-31,0.32550880167471696
1984-02-29,0.27578668969362874
1984-03-30,0.5384439920311329
1984-04-30,0.5055201396514853
1984-05-31,0.4348036713559561
1984-06-29,0.3986739827892418
1984-07-31,0.4033831119940047
1984-08-31,0.4074882552651078
1984-09-28,0.26167121170653673
1984-10-31,0.2185782818555416
1984-11-30,0.20478127522401782
1984-12-31,0.19522613427797336
1985-01-31,0.10849736778028315
1985-02-28,0.06543114834219374
1985-03-29,0.11159567022030249
1985-04-30,0.07007668057604739
1985-05-31,0.1863827795349195
1985-06-28,0.11613557672926446
1985-07-31,0.0655965428081386
1985-08-30,0.036422447663261144
1985-09-30,0.057266502431012944
1985-10-31,0.048849218033382436
1985-11-29,0.10964705692675397
1985-12-31,0.050383257283455156
1986-01-31,0.020141617675054173
1986-02-28,0.1770804844260559
1986-03-31,0.17016389186014924
1986-04-30,0.07441066464585087
1986-05-30,0.09174927066654112
1986-06-30,0.14891616653524992
1986-07-31,0.17549693222504842
1986-08-29,0.2006230098663387
1986-09-30,0.15035240078141152
1986-10-31,0.2154112106303166
1986-11-28,0.13599169743302433
1986-12-31,0.14270737957888624
1987-01-30,0.11707328808991721
1987-02-27,-0.03786499015254919
1987-03-31,-0.009021202861458837
1987-04-30,-0.23143353087786608
1987-05-29,-0.22225597130294458
1987-06-30,-0.31788652958057195
1987-07-31,-0.20380430797496799
1987-08-31,-0.24444864500907723
1987-09-30,-0.17833161760895894
1987-10-30,-0.1899255441484198
1987-11-30,-0.2329688456916313
1987-12-31,-0.3600562208824243
1988-01-29,-0.2438012918186115
1988-02-29,-0.30462641540880225
1988-03-31,-0.27079936519588027
1988-04-29,-0.2533473131357431
1988-05-31,-0.3601539923659943
1988-06-30,-0.29781170245945826
1988-07-29,-0.286812053228043
1988-08-31,-0.2828546396292791
1988-09-30,-0.2033876950483591
1988-10-31,-0.1320473625745044
1988-11-30,-0.14625342356384421
1988-12-30,-0.15031489384140662
1989-01-03,0.09124745624173908
1989-01-04,0.14365720255416875
1989-01-05,0.19584140504004918
1989-01-06,0.15766262018446242
1989-01-09,0.17740079424857788
1989-01-10,0.22574194975374376
1989-01-11,0.27183160256724775
1989-01-12,0.24386646622888555
1989-01-13,0.42826387411565425
1989-01-17,0.36056118679268034
1989-01-18,0.3748036514945123
1989-01-19,0.33958503462769346
1989-01-20,0.3316139077477269
1989-01-23,0.3901459484820371
1989-01-24,0.36263893585155643
1989-01-25,0.3921001312414626
1989-01-26,0.3863282283077247
1989-01-27,0.1830780981653557
1989-01-30,0.04660994331484493
1989-01-31,0.2938856451759199
1989-02-01,0.27649534963487055
1989-02-02,0.3596569637024242
1989-02-03,0.3985946869628667
1989-02-06,0.3779450313678276
1989-02-07,0.409581485473881
1989-02-08,0.4054500084462473
1989-02-09,0.4430123514862577
1989-02-10,0.42248732976932857
1989-02-13,0.3309068394126438
1989-02-14,0.230608591324153
1989-02-15,0.19820431619709444
1989-02-16,0.1496469419220865
1989-02-17,0.1569694904799818
1989-02-21,0.14068090010651843
1989-02-22,0.18557251808850622
1989-02-23,0.10174709183934398
1989-02-24,0.11215029245195221
1989-02-27,0.22291466925616782
1989-02-28,0.29092010775462956
1989-03-01,0.3059287740896339
1989-03-02,0.37013442257372275
1989-03-03,0.3694111847896752
1989-03-06,0.4407769063520527
1989-03-07,0.4383712799581003
1989-03-08,0.4495974770334482
