Security,USOSFR10 BGN Curncy
Start Date,1/1/2007 0:00
End Date,7/25/2025 0:00
Period,D
Currency,USD
Pricing Source,BGN
,
Date,PX_LAST
7/9/2024,3.8762
7/8/2024,3.8589
7/5/2024,3.8556
7/3/2024,3.938
7/2/2024,4.0108
7/1/2024,4.046
6/28/2024,3.97905
6/27/2024,3.87965
6/26/2024,3.925
6/25/2024,3.84315
6/24/2024,3.8246
6/21/2024,3.8556
6/20/2024,3.8623
6/19/2024,3.82272
6/18/2024,3.8218
6/17/2024,3.8818
6/14/2024,3.814
6/13/2024,3.8423
6/12/2024,3.93905
6/11/2024,4.02345
6/10/2024,4.087
6/7/2024,4.0532
6/6/2024,3.9119
6/5/2024,3.90068
6/4/2024,3.95664
6/3/2024,4.0225
5/31/2024,4.1291
5/30/2024,4.18
5/29/2024,4.24725
5/28/2024,4.184
5/24/2024,4.0925
5/23/2024,4.11395
5/22/2024,4.0599
5/21/2024,4.0468
5/20/2024,4.0808
5/17/2024,4.0573
5/16/2024,4.01525
5/15/2024,3.9785
5/14/2024,4.0732
5/13/2024,4.12
5/10/2024,4.127
5/9/2024,4.0854
5/8/2024,4.1151
5/7/2024,4.08002
5/6/2024,4.1054
5/3/2024,4.1335
5/2/2024,4.2096
5/1/2024,4.26217
4/30/2024,4.3101
4/29/2024,4.242
4/26/2024,4.2936
4/25/2024,4.3326
4/24/2024,4.2682
4/23/2024,4.227
4/22/2024,4.23
4/19/2024,4.2401
4/18/2024,4.2515
4/17/2024,4.2076
4/16/2024,4.2843
4/15/2024,4.215
4/12/2024,4.1415
4/11/2024,4.2111
4/10/2024,4.17058
4/9/2024,3.9855
4/8/2024,4.0442
4/5/2024,4.02445
4/4/2024,3.9399
4/3/2024,3.9702
4/2/2024,3.97415
4/1/2024,3.9415
3/28/2024,3.8375
3/27/2024,3.8289
3/26/2024,3.8723
3/25/2024,3.8889
3/22/2024,3.8365
3/21/2024,3.9031
3/20/2024,3.9095
3/19/2024,3.9196
3/18/2024,3.9445
3/15/2024,3.928
3/14/2024,3.91242
3/13/2024,3.8124
3/12/2024,3.77894
3/11/2024,3.72755
3/8/2024,3.7038
3/7/2024,3.71145
3/6/2024,3.73062
3/5/2024,3.7745
3/4/2024,3.8365
3/1/2024,3.80645
2/29/2024,3.8733
2/28/2024,3.8844
2/27/2024,3.91875
2/26/2024,3.8958
2/23/2024,3.8756
2/22/2024,3.9564
2/21/2024,3.9551
2/20/2024,3.91463
2/16/2024,3.91705
2/15/2024,3.8762
2/14/2024,3.9
2/13/2024,3.9557
2/12/2024,3.816
2/9/2024,3.8149
2/8/2024,3.7937
2/7/2024,3.744
2/6/2024,3.72435
2/5/2024,3.7905
2/2/2024,3.6605
2/1/2024,3.52075
1/31/2024,3.54875
1/30/2024,3.6721
1/29/2024,3.71265
1/26/2024,3.7716
1/25/2024,3.7552
1/24/2024,3.8102
1/23/2024,3.7635
1/22/2024,3.7413
1/19/2024,3.75575
1/18/2024,3.7638
1/17/2024,3.7212
1/16/2024,3.6677
1/12/2024,3.5476
1/11/2024,3.58096
1/10/2024,3.6436
1/9/2024,3.6404
1/8/2024,3.661
1/5/2024,3.6515
1/4/2024,3.6119
1/3/2024,3.5232
1/2/2024,3.51605
12/29/2023,3.474
12/28/2023,3.4534
12/27/2023,3.41365
12/26/2023,3.51265
12/22/2023,3.511
12/21/2023,3.4958
12/20/2023,3.4581
12/19/2023,3.5467
12/18/2023,3.5485
12/15/2023,3.5274
12/14/2023,3.5386
12/13/2023,3.64445
12/12/2023,3.8199
12/11/2023,3.8504
12/8/2023,3.8449
12/7/2023,3.76345
12/6/2023,3.722
12/5/2023,3.7858
12/4/2023,3.87605
12/1/2023,3.83065
11/30/2023,3.95755
11/29/2023,3.8804
11/28/2023,3.957
11/27/2023,4.0367
11/24/2023,4.1185
11/23/2023,4.063
11/22/2023,4.0627
11/21/2023,4.049
11/20/2023,4.07455
11/17/2023,4.09295
11/16/2023,4.09315
11/15/2023,4.1904
11/14/2023,4.1067
11/13/2023,4.296
11/10/2023,4.30175
11/9/2023,4.266
11/8/2023,4.12215
11/7/2023,4.197
11/6/2023,4.27935
11/3/2023,4.21985
11/2/2023,4.3065
11/1/2023,4.37835
10/31/2023,4.5692
10/30/2023,4.53605
10/27/2023,4.484
10/26/2023,4.5055
10/25/2023,4.6126
10/24/2023,4.4892
10/23/2023,4.5106
10/20/2023,4.5747
10/19/2023,4.6511
10/18/2023,4.59095
10/17/2023,4.51625
10/16/2023,4.3875
10/13/2023,4.302
10/12/2023,4.38605
10/11/2023,4.25105
10/10/2023,4.35005
10/6/2023,4.4935
10/5/2023,4.40913
10/4/2023,4.42935
10/3/2023,4.48885
10/2/2023,4.3739
9/29/2023,4.265
9/28/2023,4.2765
9/27/2023,4.309
9/26/2023,4.23835
9/25/2023,4.2416
9/22/2023,4.1435
9/21/2023,4.206
9/20/2023,4.117
9/19/2023,4.063
9/18/2023,4.005
9/15/2023,4.0335
9/14/2023,3.9944
9/13/2023,3.9625
9/12/2023,3.989
9/11/2023,3.99775
9/8/2023,3.975
9/7/2023,3.959
9/6/2023,3.987
9/5/2023,3.9675
9/1/2023,3.89
8/31/2023,3.82735
8/30/2023,3.84275
8/29/2023,3.852
8/28/2023,3.9352
8/25/2023,3.9675
8/24/2023,3.9725
8/23/2023,3.92785
8/22/2023,4.0595
8/21/2023,4.0765
8/18/2023,3.991
8/17/2023,4.00875
8/16/2023,3.973
8/15/2023,3.94
8/14/2023,3.917
8/11/2023,3.87375
8/10/2023,3.82645
8/9/2023,3.72615
8/8/2023,3.731
8/7/2023,3.7965
8/4/2023,3.757
8/3/2023,3.903
8/2/2023,3.797
8/1/2023,3.75525
7/31/2023,3.699
7/28/2023,3.6985
7/27/2023,3.7422
7/26/2023,3.61725
7/25/2023,3.63275
7/24/2023,3.62785
7/21/2023,3.582
7/20/2023,3.59
7/19/2023,3.48269
7/18/2023,3.5145
7/17/2023,3.543
7/14/2023,3.573
7/13/2023,3.5
7/12/2023,3.60035
7/11/2023,3.71115
7/10/2023,3.74155
7/7/2023,3.822
7/6/2023,3.781
7/5/2023,3.6755
7/3/2023,3.6035
6/30/2023,3.5825
6/29/2023,3.5775
6/28/2023,3.4515
6/27/2023,3.5029
6/26/2023,3.468
6/23/2023,3.473
6/22/2023,3.52887
6/21/2023,3.45615
6/20/2023,3.46085
6/16/2023,3.501
6/15/2023,3.45865
6/14/2023,3.5195
6/13/2023,3.5395
6/12/2023,3.4625
6/9/2023,3.4795
6/8/2023,3.45375
6/7/2023,3.5265
6/6/2023,3.397
6/5/2023,3.42935
6/2/2023,3.45835
6/1/2023,3.3404
5/31/2023,3.386
5/30/2023,3.43
5/26/2023,3.5395
5/25/2023,3.557
5/24/2023,3.46895
5/23/2023,3.42325
5/22/2023,3.4397
5/19/2023,3.39345
5/18/2023,3.35975
5/17/2023,3.26945
5/16/2023,3.2426
5/15/2023,3.21025
5/12/2023,3.18
5/11/2023,3.10415
5/10/2023,3.1645
5/9/2023,3.24105
5/8/2023,3.2345
5/5/2023,3.176
5/4/2023,3.119
5/3/2023,3.09335
5/2/2023,3.1685
5/1/2023,3.31125
4/28/2023,3.14875
4/27/2023,3.236
4/26/2023,3.165
4/25/2023,3.1104
4/24/2023,3.2055
4/21/2023,3.286
4/20/2023,3.241
4/19/2023,3.3005
4/18/2023,3.295
4/17/2023,3.308
4/14/2023,3.2155
4/13/2023,3.14665
4/12/2023,3.095
4/11/2023,3.14115
4/10/2023,3.13725
4/7/2023,3.112
4/6/2023,3.02225
4/5/2023,3.02495
4/4/2023,3.04425
4/3/2023,3.12
3/31/2023,3.174
3/30/2023,3.259
3/29/2023,3.278
3/28/2023,3.2695
3/27/2023,3.23513
3/24/2023,3.078
3/23/2023,3.129
3/22/2023,3.174
3/21/2023,3.35525
3/20/2023,3.2225
3/17/2023,3.1755
3/16/2023,3.34
3/15/2023,3.231
3/14/2023,3.45
3/13/2023,3.292
3/10/2023,3.40395
3/9/2023,3.62762
3/8/2023,3.719
3/7/2023,3.6933
3/6/2023,3.6899
3/3/2023,3.698
3/2/2023,3.79585
3/1/2023,3.7305
2/28/2023,3.655
2/27/2023,3.645
2/24/2023,3.6775
2/23/2023,3.6
2/22/2023,3.64515
2/21/2023,3.67655
2/17/2023,3.53725
2/16/2023,3.5812
2/15/2023,3.52
2/14/2023,3.45825
2/13/2023,3.4109
2/10/2023,3.4422
2/9/2023,3.3631
2/8/2023,3.31045
2/7/2023,3.37515
2/6/2023,3.33995
2/3/2023,3.2421
2/2/2023,3.1115
2/1/2023,3.13075
1/31/2023,3.20675
1/30/2023,3.2424
1/27/2023,3.2058
1/26/2023,3.19675
1/25/2023,3.1345
1/24/2023,3.1355
1/23/2023,3.19535
1/20/2023,3.16135
1/19/2023,3.074
1/18/2023,3.06385
1/17/2023,3.23145
1/16/2023,3.1878
1/13/2023,3.18845
1/12/2023,3.1298
1/11/2023,3.21405
1/10/2023,3.28045
1/9/2023,3.196
1/6/2023,3.2191
1/5/2023,3.38725
1/4/2023,3.3555
1/3/2023,3.3985
12/30/2022,3.5575
12/29/2022,3.5031
12/28/2022,3.569
12/27/2022,3.51325
12/23/2022,3.4365
12/22/2022,3.3726
12/21/2022,3.348
12/20/2022,3.34995
12/19/2022,3.27195
12/16/2022,3.1865
12/15/2022,3.1544
12/14/2022,3.1801
12/13/2022,3.20455
12/12/2022,3.31
12/9/2022,3.2851
12/8/2022,3.1756
12/7/2022,3.107
12/6/2022,3.2088
12/5/2022,3.26215
12/2/2022,3.16335
12/1/2022,3.17675
11/30/2022,3.278
11/29/2022,3.4238
11/28/2022,3.36835
11/25/2022,3.37425
11/24/2022,3.3805
11/23/2022,3.37925
11/22/2022,3.43705
11/21/2022,3.53285
11/18/2022,3.5273
11/17/2022,3.45725
11/16/2022,3.3649
11/15/2022,3.46625
11/14/2022,3.55525
11/11/2022,3.5269
11/10/2022,3.52725
11/9/2022,3.80535
11/8/2022,3.8469
11/7/2022,3.94315
11/4/2022,3.91175
11/3/2022,3.90325
11/2/2022,3.87275
11/1/2022,3.8115
10/31/2022,3.8025
10/28/2022,3.761
10/27/2022,3.6495
10/26/2022,3.7341
10/25/2022,3.84275
10/24/2022,3.9675
10/21/2022,3.94
10/20/2022,3.964
10/19/2022,3.84725
10/18/2022,3.7124
10/17/2022,3.7182
10/14/2022,3.73245
10/13/2022,3.6624
10/12/2022,3.637
10/11/2022,3.6785
10/7/2022,3.61325
10/6/2022,3.56555
10/5/2022,3.50765
10/4/2022,3.353
10/3/2022,3.38875
9/30/2022,3.5904
9/29/2022,3.55525
9/28/2022,3.4851
9/27/2022,3.6434
9/26/2022,3.6579
9/23/2022,3.45075
9/22/2022,3.48275
9/21/2022,3.3164
9/20/2022,3.3494
9/19/2022,3.28175
9/16/2022,3.24355
9/15/2022,3.2456
9/14/2022,3.19825
9/13/2022,3.19795
9/12/2022,3.1502
9/9/2022,3.107
9/8/2022,3.1131
9/7/2022,3.0621
9/6/2022,3.149
9/5/2022,3.0097
9/2/2022,3.0042
9/1/2022,3.0663
8/31/2022,2.9985
8/30/2022,2.916
8/29/2022,2.9139
8/26/2022,2.84645
8/25/2022,2.83145
8/24/2022,2.9077
8/23/2022,2.846
8/22/2022,2.7981
8/19/2022,2.7447
8/18/2022,2.64445
8/17/2022,2.66765
8/16/2022,2.55925
8/15/2022,2.54475
8/12/2022,2.5975
8/11/2022,2.6564
8/10/2022,2.5455
8/9/2022,2.5464
8/8/2022,2.52845
8/5/2022,2.6045
8/4/2022,2.4679
8/3/2022,2.49
8/2/2022,2.5349
8/1/2022,2.3509
7/29/2022,2.43725
7/28/2022,2.467
7/27/2022,2.57865
7/26/2022,2.599
7/25/2022,2.5867
7/22/2022,2.5381
7/21/2022,2.66575
7/20/2022,2.81075
7/19/2022,2.80155
7/18/2022,2.7675
7/15/2022,2.7048
7/14/2022,2.7535
7/13/2022,2.734
7/12/2022,2.76735
7/11/2022,2.794
7/8/2022,2.89065
7/7/2022,2.803
7/6/2022,2.73025
7/5/2022,2.6021
7/4/2022,2.679
7/1/2022,2.67725
6/30/2022,2.811
6/29/2022,2.8897
6/28/2022,2.9665
6/27/2022,2.9948
6/24/2022,2.9335
6/23/2022,2.882
6/22/2022,2.9499
6/21/2022,3.065
6/20/2022,3.013
6/17/2022,3.009
6/16/2022,2.958
6/15/2022,3.0627
6/14/2022,3.26
6/13/2022,3.1559
6/10/2022,2.93975
6/9/2022,2.83025
6/8/2022,2.8121
6/7/2022,2.7736
6/6/2022,2.8459
6/3/2022,2.7344
6/2/2022,2.7067
6/1/2022,2.6962
5/31/2022,2.646
5/27/2022,2.53765
5/26/2022,2.5445
5/25/2022,2.5332
5/24/2022,2.5265
5/23/2022,2.6195
5/20/2022,2.5595
5/19/2022,2.6249
5/18/2022,2.6717
5/17/2022,2.7723
5/16/2022,2.6721
5/13/2022,2.7142
5/12/2022,2.6572
5/11/2022,2.7145
5/10/2022,2.7724
5/9/2022,2.806
5/6/2022,2.912
5/5/2022,2.8245
5/4/2022,2.7383
5/3/2022,2.766
5/2/2022,2.778
4/29/2022,2.73625
4/28/2022,2.6309
4/27/2022,2.6212
4/26/2022,2.4998
4/25/2022,2.5869
4/22/2022,2.6655
4/21/2022,2.6755
4/20/2022,2.601
4/19/2022,2.7201
4/18/2022,2.6195
4/15/2022,2.588
4/14/2022,2.593
4/13/2022,2.4697
4/12/2022,2.4911
4/11/2022,2.56575
4/8/2022,2.477
4/7/2022,2.4156
4/6/2022,2.3628
4/5/2022,2.3131
4/4/2022,2.1645
4/1/2022,2.169
3/31/2022,2.1287
3/30/2022,2.1457
3/29/2022,2.1997
3/28/2022,2.2666
3/25/2022,2.2781
3/24/2022,2.1775
3/23/2022,2.0924
3/22/2022,2.1933
3/21/2022,2.1164
3/18/2022,1.9833
3/17/2022,1.998
3/16/2022,2.02
3/15/2022,1.9631
3/14/2022,1.946
3/11/2022,1.804
3/10/2022,1.796
3/9/2022,1.7674
3/8/2022,1.6505
3/7/2022,1.5814
3/4/2022,1.543
3/3/2022,1.6597
3/2/2022,1.70175
3/1/2022,1.5369
2/28/2022,1.6478
2/25/2022,1.78025
2/24/2022,1.7887
2/23/2022,1.81215
2/22/2022,1.7607
2/21/2022,1.7412
2/18/2022,1.74105
