Security,USOSFR2 BGN Curncy
Start Date,1/1/2007 0:00
End Date,7/25/2025 0:00
Period,D
Currency,USD
Pricing Source,BGN
,
Date,PX_LAST
7/25/2025,3.67125
7/24/2025,3.6654
7/23/2025,3.6301
7/22/2025,3.587
7/21/2025,3.6158
7/18/2025,3.62825
7/17/2025,3.65999
7/16/2025,3.64442
7/15/2025,3.6942
7/14/2025,3.6525
7/11/2025,3.6357
7/10/2025,3.6198
7/9/2025,3.59687
7/8/2025,3.64476
7/7/2025,3.63314
7/3/2025,3.6271
7/2/2025,3.53465
7/1/2025,3.5331
6/30/2025,3.49029
6/27/2025,3.5215
6/26/2025,3.504
6/25/2025,3.56286
6/24/2025,3.5884
6/23/2025,3.63545
6/20/2025,3.6828
6/19/2025,3.7137
6/18/2025,3.71363
6/17/2025,3.7248
6/16/2025,3.7431
6/13/2025,3.714
6/12/2025,3.689
6/11/2025,3.73103
6/10/2025,3.796
6/9/2025,3.7822
6/6/2025,3.811
6/5/2025,3.69892
6/4/2025,3.65146
6/3/2025,3.7354
6/2/2025,3.71555
5/30/2025,3.67812
5/29/2025,3.71162
5/28/2025,3.76935
5/27/2025,3.744
5/23/2025,3.7523
5/22/2025,3.76779
5/21/2025,3.7882
5/20/2025,3.749
5/19/2025,3.75925
5/16/2025,3.78926
5/15/2025,3.74639
5/14/2025,3.84079
5/13/2025,3.7868
5/12/2025,3.796
5/9/2025,3.67082
5/8/2025,3.6495
5/7/2025,3.54645
5/6/2025,3.54282
5/5/2025,3.59575
5/2/2025,3.585
5/1/2025,3.4611
4/30/2025,3.3727
4/29/2025,3.4118
4/28/2025,3.4593
4/25/2025,3.50915
4/24/2025,3.55865
4/23/2025,3.63073
4/22/2025,3.5592
4/21/2025,3.50255
4/17/2025,3.54395
4/16/2025,3.527
4/15/2025,3.6047
4/14/2025,3.62075
4/11/2025,3.71287
4/10/2025,3.61305
4/9/2025,3.6925
4/8/2025,3.4401
4/7/2025,3.52
4/4/2025,3.4381
4/3/2025,3.4974
4/2/2025,3.68555
4/1/2025,3.71415
3/31/2025,3.71744
3/28/2025,3.7385
3/27/2025,3.8276
3/26/2025,3.84805
3/25/2025,3.8401
3/24/2025,3.8554
3/21/2025,3.77395
3/20/2025,3.7951
3/19/2025,3.80965
3/18/2025,3.87475
3/17/2025,3.87828
3/14/2025,3.8524
3/13/2025,3.79105
3/12/2025,3.82335
3/11/2025,3.77475
3/10/2025,3.70825
3/7/2025,3.831
3/6/2025,3.79448
3/5/2025,3.84545
3/4/2025,3.8285
3/3/2025,3.7981
2/28/2025,3.8378
2/27/2025,3.8938
2/26/2025,3.9126
2/25/2025,3.9347
2/24/2025,4.0101
2/21/2025,4.04225
2/20/2025,4.1171
2/19/2025,4.127
2/18/2025,4.1545
2/14/2025,4.11205
2/13/2025,4.16625
2/12/2025,4.21515
2/11/2025,4.13475
2/10/2025,4.1179
2/7/2025,4.13
2/6/2025,4.0575
2/5/2025,4.0357
2/4/2025,4.06316
2/3/2025,4.09483
1/31/2025,4.0504
1/30/2025,4.05693
1/29/2025,4.0574
1/28/2025,4.0376
1/27/2025,4.03915
1/24/2025,4.10725
1/23/2025,4.129
1/22/2025,4.13895
1/21/2025,4.12683
1/17/2025,4.1412
1/16/2025,4.09861
1/15/2025,4.12925
1/14/2025,4.2315
1/13/2025,4.23606
1/10/2025,4.2274
1/9/2025,4.1044
1/8/2025,4.12537
1/7/2025,4.14
1/6/2025,4.12565
1/3/2025,4.11715
1/2/2025,4.08195
12/31/2024,4.0776
12/30/2024,4.0766
12/27/2024,4.1501
12/26/2024,4.1462
12/24/2024,4.1535
12/23/2024,4.16001
12/20/2024,4.1314
12/19/2024,4.15075
12/18/2024,4.1851
12/17/2024,4.06409
12/16/2024,4.06545
12/13/2024,4.05545
12/12/2024,4.00475
12/11/2024,3.97039
12/10/2024,3.95675
12/9/2024,3.93625
12/6/2024,3.9179
12/5/2024,3.95883
12/4/2024,3.9463
12/3/2024,3.9999
12/2/2024,4.004
11/29/2024,4
11/28/2024,4.0469
11/27/2024,4.047
11/26/2024,4.0837
11/25/2024,4.07406
11/22/2024,4.1562
11/21/2024,4.139
11/20/2024,4.1117
11/19/2024,4.0828
11/18/2024,4.07825
11/15/2024,4.0998
11/14/2024,4.1295
11/13/2024,4.0755
11/12/2024,4.133
11/8/2024,4.0525
11/7/2024,3.9957
11/6/2024,4.0621
11/5/2024,3.95495
11/4/2024,3.94
11/1/2024,3.97845
10/31/2024,3.9458
10/30/2024,3.9624
10/29/2024,3.8781
10/28/2024,3.9244
10/25/2024,3.891
10/24/2024,3.86855
10/23/2024,3.891
10/22/2024,3.8471
10/21/2024,3.8422
10/18/2024,3.75225
10/17/2024,3.7751
10/16/2024,3.7405
10/15/2024,3.74856
10/11/2024,3.762
10/10/2024,3.7705
10/9/2024,3.8376
10/8/2024,3.767
10/7/2024,3.79885
10/4/2024,3.7265
10/3/2024,3.5001
10/2/2024,3.43885
10/1/2024,3.3985
9/30/2024,3.4431
9/27/2024,3.354
9/26/2024,3.4216
9/25/2024,3.36525
9/24/2024,3.3214
9/23/2024,3.378
9/20/2024,3.38665
9/19/2024,3.3808
9/18/2024,3.41725
9/17/2024,3.4083
9/16/2024,3.34975
9/13/2024,3.384
9/12/2024,3.428
9/11/2024,3.4412
9/10/2024,3.3869
9/9/2024,3.4582
9/6/2024,3.4385
9/5/2024,3.5426
9/4/2024,3.5526
9/3/2024,3.6659
8/30/2024,3.7155
8/29/2024,3.7022
8/28/2024,3.69255
8/27/2024,3.6856
8/26/2024,3.726
8/23/2024,3.70605
8/22/2024,3.79635
8/21/2024,3.7275
8/20/2024,3.779
8/19/2024,3.8632
8/16/2024,3.85113
8/15/2024,3.896
8/14/2024,3.7596
8/13/2024,3.725
8/12/2024,3.81883
8/9/2024,3.8615
8/8/2024,3.84615
8/7/2024,3.7746
8/6/2024,3.79
8/5/2024,3.73585
8/2/2024,3.6908
8/1/2024,3.9786
7/31/2024,4.10745
7/30/2024,4.2004
7/29/2024,4.2455
7/26/2024,4.2315
7/25/2024,4.2722
7/24/2024,4.28125
7/23/2024,4.3096
7/22/2024,4.3316
7/19/2024,4.3261
7/18/2024,4.2909
7/17/2024,4.2639
7/16/2024,4.243
7/15/2024,4.2762
7/12/2024,4.2835
7/11/2024,4.33125
7/10/2024,4.4525
7/9/2024,4.465
7/8/2024,4.4713
7/5/2024,4.4552
7/4/2024,4.5518
7/3/2024,4.5505
7/2/2024,4.5982
7/1/2024,4.62
6/28/2024,4.6082
6/27/2024,4.57675
6/26/2024,4.6139
6/25/2024,4.5631
6/24/2024,4.5444
6/21/2024,4.557
6/20/2024,4.5695
6/19/2024,4.5548
6/18/2024,4.5516
6/17/2024,4.60525
6/14/2024,4.54225
6/13/2024,4.5405
6/12/2024,4.622
6/11/2024,4.709
6/10/2024,4.7581
6/7/2024,4.7605
6/6/2024,4.6069
6/5/2024,4.6155
6/4/2024,4.665
6/3/2024,4.714
5/31/2024,4.77982
5/30/2024,4.833
5/29/2024,4.8779
5/28/2024,4.8685
5/24/2024,4.83875
5/23/2024,4.8351
5/22/2024,4.7683
5/21/2024,4.7277
5/20/2024,4.754
5/17/2024,4.732
5/16/2024,4.70366
5/15/2024,4.63505
5/14/2024,4.733
5/13/2024,4.777
5/10/2024,4.7818
5/9/2024,4.7331
5/8/2024,4.75585
5/7/2024,4.7437
5/6/2024,4.74795
5/3/2024,4.74055
5/2/2024,4.8116
5/1/2024,4.89755
4/30/2024,4.96845
4/29/2024,4.902
4/26/2024,4.92235
4/25/2024,4.925
4/24/2024,4.8523
4/23/2024,4.8365
4/22/2024,4.8754
