Security,I29065JP Index,
Start Date,1/31/2013 0:00,
End Date,5/21/2025 0:00,
Period,D,
,,
Date,PX_LAST,TOT_RETURN_INDEX_GROSS_DVDS
5/21/2025,99.08,99.08
5/20/2025,99.04,99.04
5/19/2025,99.08,99.08
5/16/2025,99.15,99.15
5/15/2025,99.05,99.05
5/14/2025,99.16,99.16
5/13/2025,99.11,99.11
5/12/2025,99.36,99.36
5/9/2025,99.48,99.48
5/8/2025,99.53,99.53
5/7/2025,99.6,99.6
5/6/2025,99.64,99.64
5/5/2025,99.64,99.64
5/2/2025,99.64,99.64
5/1/2025,99.57,99.57
4/30/2025,99.39,99.39
4/29/2025,99.38,99.38
4/28/2025,99.38,99.38
4/25/2025,99.34,99.34
4/24/2025,99.39,99.39
4/23/2025,99.32,99.32
4/22/2025,99.43,99.43
4/21/2025,99.52,99.52
4/18/2025,99.56,99.56
4/17/2025,99.48,99.48
4/16/2025,99.59,99.59
4/15/2025,99.4,99.4
4/14/2025,99.67,99.67
4/11/2025,99.53,99.53
4/10/2025,99.24,99.24
4/9/2025,99.49,99.49
4/8/2025,99.4,99.4
4/7/2025,99.78,99.78
4/4/2025,99.57,99.57
4/3/2025,98.93,98.93
4/2/2025,98.54,98.54
4/1/2025,98.46,98.46
3/31/2025,98.46,98.46
3/28/2025,98.3,98.3
3/27/2025,98.19,98.19
3/26/2025,98.2,98.2
3/25/2025,98.22,98.22
3/24/2025,98.32,98.32
3/21/2025,98.35,98.35
3/20/2025,98.38,98.38
3/19/2025,98.38,98.38
3/18/2025,98.43,98.43
3/17/2025,98.42,98.42
3/14/2025,98.34,98.34
3/13/2025,98.24,98.24
3/12/2025,98.3,98.3
3/11/2025,98.36,98.36
3/10/2025,98.19,98.19
3/7/2025,98.31,98.31
3/6/2025,98.33,98.33
3/5/2025,98.45,98.45
3/4/2025,98.48,98.48
3/3/2025,98.57,98.57
2/28/2025,98.65,98.65
2/27/2025,98.54,98.54
2/26/2025,98.61,98.61
2/25/2025,98.58,98.58
2/24/2025,98.48,98.48
2/21/2025,98.48,98.48
2/20/2025,98.4,98.4
2/19/2025,98.41,98.41
2/18/2025,98.41,98.41
2/17/2025,98.55,98.55
2/14/2025,98.64,98.64
2/13/2025,98.64,98.64
2/12/2025,98.64,98.64
2/11/2025,98.66,98.66
2/10/2025,98.66,98.66
2/7/2025,98.7,98.7
2/6/2025,98.86,98.86
2/5/2025,98.84,98.84
2/4/2025,98.91,98.91
2/3/2025,98.98,98.98
1/31/2025,98.94,98.94
1/30/2025,99.02,99.02
1/29/2025,99.06,99.06
1/28/2025,99.08,99.08
1/27/2025,99.02,99.02
1/24/2025,98.97,98.97
1/23/2025,99.04,99.04
1/22/2025,99.09,99.09
1/21/2025,99.15,99.15
1/20/2025,99.14,99.14
1/17/2025,99.1,99.1
1/16/2025,99.08,99.08
1/15/2025,99.01,99.01
1/14/2025,99.13,99.13
1/13/2025,99.2,99.2
1/10/2025,99.2,99.2
1/9/2025,99.25,99.25
1/8/2025,99.23,99.23
1/7/2025,99.32,99.32
1/6/2025,99.39,99.39
1/3/2025,99.48,99.48
1/2/2025,99.48,99.48
12/31/2024,99.48,99.48
12/30/2024,99.48,99.48
12/27/2024,99.46,99.46
12/26/2024,99.49,99.49
12/25/2024,99.56,99.56
12/24/2024,99.54,99.54
12/23/2024,99.57,99.57
12/20/2024,99.6,99.6
12/19/2024,99.48,99.48
12/18/2024,99.53,99.53
12/17/2024,99.48,99.48
12/16/2024,99.54,99.54
12/13/2024,99.59,99.59
12/12/2024,99.51,99.51
12/11/2024,99.45,99.45
12/10/2024,99.48,99.48
12/9/2024,99.51,99.51
12/6/2024,99.45,99.45
12/5/2024,99.44,99.44
12/4/2024,99.47,99.47
12/3/2024,99.37,99.37
12/2/2024,99.36,99.36
11/29/2024,99.44,99.44
11/28/2024,99.45,99.45
11/27/2024,99.39,99.39
11/26/2024,99.42,99.42
11/25/2024,99.4,99.4
11/22/2024,99.38,99.38
11/21/2024,99.4,99.4
11/20/2024,99.49,99.49
11/19/2024,99.52,99.52
11/18/2024,99.52,99.52
11/15/2024,99.52,99.52
11/14/2024,99.56,99.56
11/13/2024,99.6,99.6
11/12/2024,99.7,99.7
11/11/2024,99.74,99.74
11/8/2024,99.72,99.72
11/7/2024,99.75,99.75
11/6/2024,99.87,99.87
11/5/2024,99.95,99.95
11/4/2024,99.95,99.95
11/1/2024,99.95,99.95
10/31/2024,100.01,100.01
10/30/2024,99.97,99.97
10/29/2024,99.92,99.92
10/28/2024,99.91,99.91
10/25/2024,99.95,99.95
10/24/2024,99.94,99.94
10/23/2024,99.9,99.9
10/22/2024,99.89,99.89
10/21/2024,99.96,99.96
10/18/2024,99.92,99.92
10/17/2024,99.94,99.94
10/16/2024,99.99,99.99
10/15/2024,99.95,99.95
10/14/2024,100,100
10/11/2024,100,100
10/10/2024,99.98,99.98
10/9/2024,100.02,100.02
10/8/2024,100.04,100.04
10/7/2024,100.07,100.07
10/4/2024,100.23,100.23
10/3/2024,100.26,100.26
10/2/2024,100.27,100.27
10/1/2024,100.19,100.19
9/30/2024,100.29,100.29
9/27/2024,100.43,100.43
9/26/2024,100.33,100.33
9/25/2024,100.33,100.33
9/24/2024,100.34,100.34
9/23/2024,100.15,100.15
9/20/2024,100.15,100.15
9/19/2024,100.19,100.19
9/18/2024,100.24,100.24
9/17/2024,100.21,100.21
9/16/2024,100.18,100.18
9/13/2024,100.18,100.18
9/12/2024,100.15,100.15
9/11/2024,100.19,100.19
9/10/2024,100.09,100.09
9/9/2024,100.11,100.11
9/6/2024,100.18,100.18
9/5/2024,100.16,100.16
9/4/2024,100.14,100.14
9/3/2024,100.07,100.07
9/2/2024,100.13,100.13
8/30/2024,100.18,100.18
8/29/2024,100.17,100.17
8/28/2024,100.14,100.14
8/27/2024,100.17,100.17
8/26/2024,100.18,100.18
8/23/2024,100.13,100.13
8/22/2024,100.18,100.18
8/21/2024,100.22,100.22
8/20/2024,100.14,100.14
8/19/2024,100.1,100.1
8/16/2024,100.16,100.16
8/15/2024,100.34,100.34
8/14/2024,100.41,100.41
8/13/2024,100.38,100.38
8/12/2024,100.37,100.37
8/9/2024,100.37,100.37
8/8/2024,100.49,100.49
8/7/2024,100.46,100.46
8/6/2024,100.4,100.4
8/5/2024,100.56,100.56
8/2/2024,99.82,99.82
8/1/2024,99.57,99.57
7/31/2024,99.59,99.59
7/30/2024,99.85,99.85
7/29/2024,99.81,99.81
7/26/2024,99.72,99.72
7/25/2024,99.73,99.73
