"Date","Price","Open","High","Low","Change %"
"05/24/2022","-0.117","-0.124","-0.117","-0.124","-5.24%"
"05/23/2022","-0.124","-0.117","-0.117","-0.124","0.00%"
"05/22/2022","-0.124","-0.124","-0.124","-0.124","4.64%"
"05/20/2022","-0.119","-0.129","-0.119","-0.129","-2.47%"
"05/19/2022","-0.122","-0.129","-0.122","-0.129","0.00%"
"05/18/2022","-0.122","-0.129","-0.122","-0.129","0.00%"
"05/17/2022","-0.122","-0.129","-0.122","-0.129","-5.81%"
"05/16/2022","-0.129","-0.124","-0.124","-0.129","4.03%"
"05/15/2022","-0.124","-0.124","-0.124","-0.124","0.00%"
"05/13/2022","-0.124","-0.124","-0.124","-0.220","9.25%"
"05/12/2022","-0.113","-0.129","-0.113","-0.129","-12.02%"
"05/11/2022","-0.129","-0.134","-0.113","-0.134","13.16%"
"05/10/2022","-0.114","-0.134","-0.114","-0.134","-1.30%"
"05/09/2022","-0.116","-0.134","-0.116","-0.134","-13.81%"
"05/08/2022","-0.134","-0.134","-0.134","-0.134","-3.60%"
"05/06/2022","-0.139","-0.149","-0.139","-0.149","-6.71%"
"05/05/2022","-0.149","-0.149","-0.149","-0.149","0.00%"
"05/02/2022","-0.149","-0.149","-0.149","-0.149","0.00%"
"05/01/2022","-0.149","-0.149","-0.149","-0.149","0.00%"
"04/28/2022","-0.149","-0.149","-0.149","-0.149","0.00%"
"04/27/2022","-0.149","-0.149","-0.149","-0.149","0.00%"
"04/26/2022","-0.149","-0.149","-0.149","-0.149","0.00%"
"04/25/2022","-0.149","-0.144","-0.144","-0.149","3.47%"
"04/24/2022","-0.144","-0.144","-0.144","-0.144","-31.91%"
"04/22/2022","-0.212","-0.109","-0.109","-0.212","5.49%"
"04/21/2022","-0.200","-0.109","-0.109","-0.200","83.94%"
"04/20/2022","-0.109","-0.101","-0.101","-0.109","0.00%"
"04/19/2022","-0.109","-0.104","-0.101","-0.109","4.81%"
"04/18/2022","-0.104","-0.104","-0.104","-0.104","0.00%"
"04/17/2022","-0.104","-0.104","-0.104","-0.104","-16.13%"
"04/15/2022","-0.124","-0.124","-0.124","-0.124","0.00%"
"04/14/2022","-0.124","-0.134","-0.124","-0.209","-7.46%"
"04/13/2022","-0.134","-0.134","-0.134","-0.134","-38.11%"
"04/12/2022","-0.216","-0.134","-0.134","-0.216","61.57%"
"04/11/2022","-0.134","-0.129","-0.129","-0.216","3.88%"
"04/10/2022","-0.129","-0.129","-0.129","-0.129","-39.58%"
"04/08/2022","-0.213","-0.114","-0.114","-0.213","110.34%"
"04/07/2022","-0.101","-0.114","-0.101","-0.114","-10.96%"
"04/06/2022","-0.114","-0.114","-0.101","-0.114","0.00%"
"04/05/2022","-0.114","-0.109","-0.109","-0.114","15.74%"
"04/04/2022","-0.098","-0.109","-0.098","-0.109","-9.63%"
"04/03/2022","-0.109","-0.109","-0.109","-0.109","14.14%"
"04/01/2022","-0.095","-0.104","-0.095","-0.104","1.60%"
"03/31/2022","-0.094","-0.104","-0.094","-0.104","-9.62%"
"03/30/2022","-0.104","-0.089","-0.089","-0.104","16.85%"
"03/29/2022","-0.089","-0.084","-0.084","-0.089","9.88%"
"03/28/2022","-0.081","-0.084","-0.081","-0.084","-3.57%"
"03/27/2022","-0.084","-0.084","-0.084","-0.084","6.33%"
"03/25/2022","-0.079","-0.079","-0.079","-0.079","0.00%"
"03/24/2022","-0.079","-0.079","-0.079","-0.079","0.00%"
"03/23/2022","-0.079","-0.079","-0.079","-0.079","0.00%"
"03/22/2022","-0.079","-0.079","-0.079","-0.079","0.00%"
"03/21/2022","-0.079","-0.079","-0.079","-0.079","0.00%"
"03/17/2022","-0.079","-0.079","-0.079","-0.079","5.33%"
"03/16/2022","-0.075","-0.079","-0.075","-0.079","0.00%"
"03/15/2022","-0.075","-0.079","-0.075","-0.079","-5.06%"
"03/14/2022","-0.079","-0.084","-0.078","-0.084","-5.95%"
"03/13/2022","-0.084","-0.084","-0.084","-0.084","-0.59%"
"03/11/2022","-0.084","-0.084","-0.084","-0.084","-5.06%"
"03/10/2022","-0.089","-0.084","-0.084","-0.089","0.00%"
"03/09/2022","-0.089","-0.084","-0.084","-0.089","5.95%"
"03/08/2022","-0.084","-0.089","-0.084","-0.089","-5.62%"
"03/07/2022","-0.089","-0.084","-0.084","-0.089","0.00%"
"03/06/2022","-0.089","-0.089","-0.089","-0.089","3.49%"
"03/04/2022","-0.086","-0.094","-0.086","-0.094","-8.51%"
"03/03/2022","-0.094","-0.086","-0.086","-0.094","8.67%"
"03/02/2022","-0.086","-0.094","-0.086","-0.094","-7.98%"
"03/01/2022","-0.094","-0.094","-0.094","-0.094","0.00%"
"02/28/2022","-0.094","-0.089","-0.084","-0.094","5.62%"
"02/27/2022","-0.089","-0.089","-0.089","-0.089","10.56%"
"02/25/2022","-0.080","-0.084","-0.080","-0.084","4.55%"
"02/24/2022","-0.077","-0.084","-0.077","-0.084","-8.33%"
"02/23/2022","-0.084","-0.084","-0.084","-0.084","9.80%"
"02/22/2022","-0.076","-0.076","-0.076","-0.076","-8.93%"
"02/21/2022","-0.084","-0.080","-0.080","-0.084","0.00%"
"02/20/2022","-0.084","-0.084","-0.084","-0.084","-54.22%"
"02/18/2022","-0.184","-0.184","-0.184","-0.184","118.45%"
"02/17/2022","-0.084","-0.089","-0.084","-0.089","0.00%"
"02/16/2022","-0.084","-0.089","-0.084","-0.089","-5.62%"
"02/15/2022","-0.089","-0.083","-0.083","-0.089","0.00%"
"02/14/2022","-0.089","-0.083","-0.083","-0.089","0.00%"
"02/13/2022","-0.089","-0.089","-0.089","-0.089","-52.41%"
"02/10/2022","-0.187","-0.099","-0.099","-0.187","88.89%"
"02/09/2022","-0.099","-0.099","-0.099","-0.099","0.00%"
"02/08/2022","-0.099","-0.091","-0.091","-0.099","8.79%"
"02/07/2022","-0.091","-0.099","-0.091","-0.099","-8.08%"
"02/06/2022","-0.099","-0.099","-0.099","-0.099","0.00%"
"02/04/2022","-0.099","-0.099","-0.092","-0.099","7.61%"
"02/03/2022","-0.092","-0.099","-0.092","-0.099","0.00%"
"02/02/2022","-0.092","-0.099","-0.092","-0.099","-7.07%"
"02/01/2022","-0.099","-0.099","-0.093","-0.099","7.61%"
"01/31/2022","-0.092","-0.099","-0.092","-0.099","-7.07%"
"01/30/2022","-0.099","-0.099","-0.099","-0.099","-47.62%"
"01/28/2022","-0.189","-0.094","-0.094","-0.189","112.36%"
"01/27/2022","-0.089","-0.094","-0.089","-0.094","0.00%"
"01/26/2022","-0.089","-0.094","-0.089","-0.094","-5.32%"
"01/25/2022","-0.094","-0.094","-0.089","-0.094","5.03%"
"01/24/2022","-0.090","-0.094","-0.090","-0.094","-4.79%"
"01/23/2022","-0.094","-0.094","-0.094","-0.094","-50.26%"
"01/21/2022","-0.189","-0.094","-0.094","-0.189","0.00%"
"01/20/2022","-0.189","-0.094","-0.094","-0.189","111.80%"
"01/19/2022","-0.089","-0.094","-0.089","-0.094","0.00%"
"01/18/2022","-0.089","-0.094","-0.089","-0.094","-3.78%"
"01/17/2022","-0.093","-0.094","-0.093","-0.094","-1.60%"
"01/16/2022","-0.094","-0.094","-0.094","-0.094","-5.05%"
"01/14/2022","-0.099","-0.104","-0.099","-0.104","1.02%"
"01/13/2022","-0.098","-0.104","-0.098","-0.104","-0.51%"
"01/12/2022","-0.098","-0.104","-0.098","-0.104","0.51%"
"01/11/2022","-0.098","-0.104","-0.098","-0.104","-5.77%"
"01/10/2022","-0.104","-0.104","-0.104","-0.104","-47.47%"
"01/07/2022","-0.198","-0.104","-0.104","-0.198","95.07%"
"01/06/2022","-0.101","-0.109","-0.101","-0.109","-6.88%"
