Security,LUTLTRUU Index,
Start Date,1/31/73 0:00,
End Date,7/24/25 0:00,
Period,D,
,,
Date,PX_LAST,VOLATILITY_30D
10/3/24,3403.63,9.75
10/2/24,3432.62,9.56
10/1/24,3458.18,9.71
9/30/24,3435.34,9.51
9/27/24,3448.82,9.7
9/26/24,3431.42,9.67
9/25/24,3425.84,9.7
9/24/24,3452.63,9.77
9/23/24,3452.33,9.88
9/20/24,3458.69,10
9/19/24,3467.44,9.97
9/18/24,3476.53,10.19
9/17/24,3515.18,9.67
9/16/24,3529.73,9.97
9/13/24,3500.48,11.6
9/12/24,3492.44,11.65
9/11/24,3506.68,14.02
9/10/24,3509.95,14.16
9/9/24,3485.78,14.31
9/6/24,3473.38,14.3
9/5/24,3471.55,14.31
9/4/24,3453.12,14.37
9/3/24,3415.43,14.19
9/2/24,3367.24,14.12
8/30/24,3367.24,14.13
8/29/24,3395.85,13.86
8/28/24,3407.98,13.95
8/27/24,3412.05,14.16
8/26/24,3418.28,14.12
8/23/24,3423.51,14.43
8/22/24,3404.21,14.76
8/21/24,3435.93,14.38
8/20/24,3432.76,14.57
8/19/24,3406.47,14.47
8/16/24,3391.17,14.55
8/15/24,3380.31,14.54
8/14/24,3409.36,14.27
8/13/24,3391.06,14.25
8/12/24,3368.68,14.54
8/9/24,3356.99,14.6
8/8/24,3326.21,15.51
8/7/24,3344.23,16.25
8/6/24,3371.7,16
8/5/24,3438.65,15.31
8/2/24,3422.65,15.28
8/1/24,3330.23,13.06
7/31/24,3300.03,12.8
7/30/24,3266.1,12.57
7/29/24,3255.19,12.53
7/26/24,3239.5,12.7
7/25/24,3215.6,12.73
7/24/24,3193.43,12.72
7/23/24,3223.86,13.03
7/22/24,3225.55,13.22
7/19/24,3234.56,13.43
7/18/24,3253.16,13.44
7/17/24,3275.44,14.43
7/16/24,3272.05,14.43
7/15/24,3232.81,14.12
7/12/24,3262.47,14.14
7/11/24,3252.81,14.61
7/10/24,3220.9,14.51
7/9/24,3213.13,14.68
7/8/24,3224.55,15.06
7/5/24,3217.82,15.51
7/4/24,3195.2,15.39
7/3/24,3195.2,15.39
7/2/24,3155.04,15.03
7/1/24,3133.23,14.87
6/28/24,3186.15,14.04
6/27/24,3237.3,13.13
6/26/24,3225.83,13.28
6/25/24,3268.58,12.61
6/24/24,3262.51,13.14
6/21/24,3251.89,13.17
6/20/24,3251.8,13.17
6/19/24,3271.41,13.11
6/18/24,3271.41,13.12
6/17/24,3243.94,13.12
6/14/24,3271.8,12.83
6/13/24,3249.8,12.76
6/12/24,3208.32,12.51
6/11/24,3183.59,12.38
6/10/24,3154.65,12.25
6/7/24,3173.14,12.32
6/6/24,3231.26,10.9
6/5/24,3232.21,10.92
6/4/24,3210.44,11.11
6/3/24,3176.19,11.03
5/31/24,3134.41,10.38
5/30/24,3110.37,10.16
5/29/24,3083.41,9.88
5/28/24,3117.11,9.43
5/27/24,3152.48,9.13
5/24/24,3152.48,9.37
5/23/24,3149.27,10.41
5/22/24,3168.22,10.31
5/21/24,3165.82,10.44
5/20/24,3151.56,12.25
5/17/24,3159.17,12.52
5/16/24,3179.59,12.35
5/15/24,3183.51,12.95
5/14/24,3141.54,12.45
5/13/24,3125.93,12.34
5/10/24,3118.28,12.38
5/9/24,3133.37,13.56
5/8/24,3120.9,13.47
5/7/24,3138.37,13.44
5/6/24,3120.29,13.56
5/3/24,3107.94,13.52
5/2/24,3079.25,13.17
5/1/24,3066.6,13.45
4/30/24,3047.36,13.27
4/29/24,3069.19,13.17
4/26/24,3046.09,12.96
4/25/24,3029.98,12.8
4/24/24,3049,12.72
4/23/24,3069.18,13.25
4/22/24,3068.13,13.25
4/19/24,3071.55,13.37
4/18/24,3060.98,13.27
4/17/24,3077,13.25
4/16/24,3045.99,12.71
4/15/24,3064.19,12.88
4/12/24,3107.94,13.08
4/11/24,3091.25,12.93
4/10/24,3105.75,13.09
4/9/24,3172.43,11.66
4/8/24,3144.96,11.48
4/5/24,3145.27,11.61
4/4/24,3185.39,11
4/3/24,3164.88,11.37
4/2/24,3166.59,11.42
4/1/24,3182.45,11.48
